#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-11T17:54:04
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-11T17:50:00.000
#DataEndTime: 2024-04-11T17:54:02.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=6, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  -3.3    1.79 322.45  16.9    1.69 276.02  23.4    1.78 224.53  -2.7    0.39 384.94  23.9    0.35 221.30
    900   7.4   -0.24 295.26 -99999 -9999999 -999999 -99999 -9999999 -999999  10.8   -0.47 292.19 -99999 -9999999 -999999
   1500  24.0   -1.72 207.37  28.3    2.51 218.62  32.4    1.74 194.95  28.2   -1.06 162.13  33.1    0.33 195.41
   2100  27.5   -2.70 159.26  27.9    2.58 200.79  35.6    1.74 131.55  32.3   -1.25 110.78  36.8    0.33 126.64
   2700  32.0   -3.07 106.38  27.9    2.58 156.37  34.9    1.64  83.40  36.1   -1.31  67.52  36.1    0.31  78.55
   3300  32.0   -3.29 106.38  28.5    3.26 144.98  34.9    1.51  83.40  36.1   -1.22  67.52  36.1    0.29  78.55
   3900  31.4   -3.44 116.01  29.1    3.60 141.74  33.1    0.99 102.13  32.9   -0.86 107.16  34.4    0.18  95.69
   4500  31.5   -3.63 114.58  29.7    3.97 134.26  33.1    0.53 102.13  32.9   -0.58 107.16  34.4    0.03  95.69
   5100  34.0   -3.63  99.21  34.3    4.25  94.66  35.5    0.18  82.71  35.8   -0.42  91.83  33.4   -0.17 107.36
   5700  37.6   -3.79  74.40  39.1    3.96  61.07  36.1    0.13  76.71  38.5   -0.38  78.06  33.3   -0.17 104.24
   6300  43.3   -4.06  33.13  44.0    3.80  29.65  39.1    0.21  48.67  44.2   -0.49  27.23  34.8   -0.22  84.77
   6900  43.3   -4.26  33.13  44.0    4.04  29.65  39.9    0.34  43.23  44.2   -0.60  27.23  33.3   -0.23  96.52
   7500  40.0   -4.54  47.52  40.9    4.23  44.49  38.7    0.46  49.98  41.9   -0.69  36.57  29.2   -0.13 141.76
   8100  34.6   -4.70 100.90  33.4    4.36 115.29  35.5    0.61  74.88  36.1   -0.86  82.65  28.0   -0.05 157.31
   8700  30.7   -5.04 129.31  31.3    4.67 125.21  33.2    0.86  95.32  34.2   -1.05  90.63  25.1    0.01 186.58
   9300  26.8   -5.29 169.65  27.0    5.05 171.18  28.2    1.15 145.26  30.0   -1.31 133.25  22.9    0.13 213.93
   9900  24.1   -5.89 203.07  22.5    5.56 222.40  25.8    1.32 176.03  25.1   -1.42 186.08  20.9    0.19 234.14
  10500  23.3   -6.31 209.97  21.9    6.05 226.22  23.0    2.17 210.33  23.4   -1.88 204.49  20.9    0.21 234.14
  11100  23.3   -6.95 209.97  21.9    6.68 226.22  23.0    2.65 210.33  23.4   -2.04 204.49  18.7    0.21 254.81
  11700  20.1   -7.59 241.09  18.5    7.58 254.92  20.3    2.65 236.18  20.1   -2.04 235.47  13.9    0.21 273.94
  12300  16.1   -8.30 265.31  14.8    8.57 277.48  16.4    2.63 262.34  16.3   -2.02 260.87  13.9    0.24 285.68
  12900  10.7   -8.87 290.06  14.8    9.27 291.20  11.8    2.32 284.92  12.6   -1.77 284.20  11.7    0.25 295.00
  13500   7.5   -9.12 296.23  12.0    9.29 294.67  11.8    2.32 292.35  10.0   -1.77 291.24   6.4    0.19 295.04
  14100   7.5   -9.12 297.87  10.9    9.39 296.04   8.7    1.85 294.71   8.1   -1.59 293.60 -99999 -9999999 -999999
  14700   7.7   -8.35 297.39  10.9    9.29 294.94   9.4    1.23 293.39   7.1   -1.49 294.57 -99999 -9999999 -999999
  15300   7.4   -7.32 297.39   7.8    7.43 295.03   9.1    0.76 293.39   7.1   -1.14 294.57 -99999 -9999999 -999999
  15900   7.4   -6.15 296.88   7.3    6.81 295.40   9.3    0.10 292.83   7.3   -1.31 294.47 -99999 -9999999 -999999
  16500   8.1   -5.96 296.35   5.7    5.08 295.88   7.9    0.10 292.83   7.6   -1.42 294.26 -99999 -9999999 -999999
  17100   8.1   -5.96 296.35   5.7    5.08 295.88   9.3    0.67 293.15   7.6   -1.91 294.26 -99999 -9999999 -999999
  17700   8.5   -4.98 295.75   6.0    5.08 295.88   9.9    0.67 292.35   8.4   -1.91 293.36 -99999 -9999999 -999999
  18300   7.3   -4.33 296.49   6.2    4.73 296.05   9.5    0.84 294.68   8.0   -1.43 294.03 -99999 -9999999 -999999
  18900   7.3   -1.26 295.38   6.4    3.88 295.76   9.2    0.86 295.34   7.8   -0.97 294.14 -99999 -9999999 -999999
  19500   7.5   -1.04 295.20   8.1    2.26 295.23   9.7    1.00 294.71   8.0   -0.66 293.70 -99999 -9999999 -999999
  20100   7.5   -1.04 295.20   7.5    1.64 295.35   8.6    1.10 295.03   8.0   -0.47 293.70 -99999 -9999999 -999999
  20700   7.8   -0.81 295.38   8.1    0.54 295.25   6.9    1.43 295.34   8.0   -0.32 294.73 -99999 -9999999 -999999
  21300   7.8   -0.81 295.38   8.1    0.54 295.25   6.9    1.43 295.34   7.6   -1.04 295.37 -99999 -9999999 -999999
  21900 -99999 -9999999 -999999   9.5    0.41 295.61   7.4    1.57 295.66   9.4   -0.94 295.42 -99999 -9999999 -999999
  22500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  23100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  23700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  24300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  24900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  25500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  26100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  26700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  28500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  30300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  30900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  31500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  32100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  32700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  33300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  33900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  34500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  37500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  40500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
