#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-02T23:53:46
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-02T23:50:00.000
#DataEndTime: 2024-04-02T23:53:21.000
#RecordNumber: 50
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=5000.00Hz, PlsAccum=16, Range=30km, GateNum=50, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  -3.6    3.29 481.82 -22.4   -3.27 538.63  -3.7   -2.25 489.49   1.7    2.27 445.32   2.0   -0.28 439.74
    900  20.2   -0.11 259.55   9.5   -0.05 294.05  18.1   -0.11 273.03  22.1   -0.14 243.94  18.0   -0.14 273.02
   1500  35.5   -2.39 113.94  32.0    1.98 126.17  34.1    0.92 121.60  35.9   -0.96 108.77  30.1   -0.13 147.99
   2100  43.9   -3.27  37.83  44.1    2.79  37.51  42.9    1.14  42.24  43.4   -1.18  38.76  37.8   -0.14  73.98
   2700  45.3   -3.36  32.05  46.1    2.80  29.65  43.8    1.89  42.24  43.4   -1.18  38.76  41.8   -0.22  48.27
   3300  44.7   -3.40  34.63  46.1    2.82  29.65  43.8    1.40  43.73  43.2   -0.73  39.85  41.8   -0.30  48.27
   3900  42.7   -3.68  43.45  43.9    3.03  38.42  42.0    0.65  66.54  41.2   -0.73  50.33  38.9   -0.30  63.64
   4500  39.8   -4.17  67.28  38.5    3.44  86.64  38.4    0.50  92.85  36.4   -0.80  91.73  35.4   -0.40 103.18
   5100  34.6   -4.83 102.87  31.9    4.12 137.94  32.6    0.40 136.23  30.5   -0.98 145.98  29.0   -0.42 164.61
   5700  28.7   -5.01 162.35  25.8    4.29 199.02  27.9    0.34 167.09  25.2   -0.99 199.06  22.7   -0.41 227.41
   6300  25.0   -5.09 202.30  23.9    4.43 217.35  22.6    0.35 218.71  22.2   -1.04 229.53  16.9   -0.34 263.37
   6900  20.7   -5.22 247.52  21.2    4.68 245.36  19.9    0.35 244.88  22.2   -0.86 255.69  11.9   -0.23 283.28
   7500  18.4   -5.30 263.72  19.0    4.93 260.11  16.1    0.33 274.48  18.8   -0.48 279.08   9.1   -0.16 292.76
   8100  16.1   -5.36 278.74  16.6    5.25 275.97  15.1    0.36 279.11  14.6   -0.48 290.53   9.1   -0.16 292.76
   8700  15.5   -5.72 281.45  15.1    5.60 282.47  14.1    0.45 283.39  12.2   -0.52 291.04   9.4   -0.09 294.05
   9300  15.5   -5.68 284.67  14.5    6.08 284.72  14.1    0.57 286.45  11.9   -0.44 292.27   9.4   -0.13 294.22
   9900  14.3   -6.18 289.53  13.7    6.52 286.42  13.0    0.50 290.06  10.3   -0.28 293.20   9.9   -0.33 293.95
