#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-02T03:23:26
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-02T03:20:00.000
#DataEndTime: 2024-04-02T03:23:22.000
#RecordNumber: 50
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=5000.00Hz, PlsAccum=16, Range=30km, GateNum=50, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300 -11.1    3.01 522.90 -11.9   -4.56 528.17  -7.1   -2.34 508.19  -5.3    2.03 496.47  -9.4   -0.43 503.36
    900  15.3   -0.35 284.34  15.8    0.07 282.77  15.7    0.06 282.50  17.4   -0.24 275.17  14.2   -0.06 287.51
   1500  32.2   -2.55 128.79  35.2    2.81 116.19  31.9    1.29 130.04  32.9   -1.06 125.65  34.9    0.13 108.56
   2100  42.4   -3.73  43.92  44.2    4.24  35.40  39.9    1.73  55.03  42.1   -1.21  44.76  41.7    0.22  49.13
   2700  46.3   -3.86  30.65  46.6    4.37  28.28  43.8    1.73  38.49  45.3   -1.21  33.42  45.0    0.22  33.53
   3300  49.0   -4.04  21.90  48.2    4.24  23.15  47.9    1.18  25.58  48.2   -0.51  23.82  47.1    0.17  25.69
   3900  48.3   -4.25  23.17  48.4    4.25  22.86  47.2    0.57  26.91  48.4   -0.05  23.23  45.9    0.01  29.67
   4500  48.3   -4.49  23.17  47.3    4.30  26.84  47.2    0.07  26.91  48.4    0.26  23.23  45.9   -0.08  29.67
   5100  46.6   -4.67  28.73  45.8    4.38  32.36  45.4    0.07  33.21  45.0    0.26  38.20  41.9   -0.25  49.93
   5700  42.5   -4.90  44.06  41.6    4.58  46.60  41.7    0.37  54.10  40.0   -0.29  59.57  35.7   -0.38  87.33
   6300  38.0   -5.22  61.57  38.0    4.93  60.01  37.0    0.64 101.61  34.8   -0.60  80.41  30.4   -0.25 126.52
   6900  36.0   -5.71  75.47  37.5    5.48  63.97  35.3    0.87 132.78  34.7   -0.90  82.79  29.5   -0.19 136.87
   7500  34.5   -6.11  88.19  35.9    6.03  77.04  34.9    0.87 154.06  33.9   -0.92  90.12  29.5   -0.09 136.87
   8100  31.2   -6.83 124.53  32.8    6.92 107.46  32.1    0.61 165.33  30.5   -0.58 129.92  25.7    0.14 170.70
   8700  25.9   -7.62 183.52  28.5    7.84 156.37  28.2    0.61 173.71  24.6   -0.58 192.19  23.1    0.37 203.15
   9300  22.7   -8.46 221.60  26.6    8.74 177.87  26.1    0.62 173.88  21.3   -0.66 231.69  18.0    0.54 247.41
   9900  19.0   -8.92 255.04  22.5    9.53 219.44  23.0    0.47 205.46  17.3   -0.53 260.67  15.9    0.70 265.80
  10500  15.0   -9.11 279.50  17.6    9.73 262.18  18.5    0.29 245.11  13.3   -0.41 283.08  13.9    0.62 283.37
