#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-02T04:44:57
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-02T04:30:00.000
#DataEndTime: 2024-04-02T04:44:37.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  32.2    3.62  56.47  33.9   -2.62  45.85  29.7   -2.37  58.89  37.8    3.17  35.96  32.9    0.55  50.82
    900  34.8   -0.09  44.25  36.7   -0.04  36.98  35.1   -0.07  42.87  37.6   -0.09  33.70  33.2   -0.04  52.60
   1500  40.6   -2.98  26.69  40.6    1.92  26.07  39.9    1.19  28.83  39.8   -1.92  27.03  36.8   -0.51  41.65
   2100  44.5   -4.56  18.09  43.9    3.05  18.50  45.2    1.77  17.39  42.7   -2.83  20.28  42.3   -0.68  26.86
   2700  47.8   -4.90  11.39  46.3    3.31  13.46  48.3    1.77  11.45  45.6   -2.83  13.88  47.7   -0.72  12.55
   3300  48.1   -4.91  11.09  46.8    3.34  12.91  50.1    1.45   9.09  46.9   -2.58  12.19  50.0   -0.73   9.47
   3900  49.0   -4.97  10.15  47.4    3.34  12.16  50.1    0.90   9.09  47.7   -2.09  11.18  50.0   -0.76   9.47
   4500  49.8   -5.15   9.21  48.3    3.45  11.04  49.8    0.48   9.09  46.9   -1.83  11.60  49.5   -0.80   9.36
   5100  49.6   -5.33   8.94  48.5    3.58  10.34  49.8    0.48   8.85  47.7   -1.83  11.00  50.0   -0.78   8.65
   5700  49.6   -5.70   8.94  48.5    3.71  10.24  49.5    0.37   9.20  47.9   -1.65  10.38  49.2   -0.78   9.51
   6300  48.6   -5.85   9.67  48.9    4.08   9.52  49.8    0.59   8.37  47.7   -1.71   9.99  46.3   -0.76  12.60
   6900  47.7   -6.00  10.25  48.5    4.54   9.41  49.5    0.77   8.17  48.2   -1.71   9.19  44.0   -0.67  15.53
   7500  47.3   -6.29  10.69  48.5    5.41   9.45  48.0    0.77   9.61  48.6   -1.55   9.07  40.8   -0.57  20.00
   8100  46.6   -6.84  11.48  48.4    6.03   9.45  45.9    0.67  11.77  47.5   -1.31   9.68  38.7   -0.43  24.66
   8700  45.3   -7.43  13.53  47.4    6.78  10.90  44.1    0.67  15.47  45.2   -1.00  13.85  37.1   -0.21  29.39
   9300  40.5   -7.83  26.55  43.5    7.36  17.73  38.1    0.42  33.36  41.4   -0.51  21.24  35.0    0.02  37.46
   9900  36.2   -8.11  38.94  38.3    8.11  31.19  33.1   -0.10  49.54  35.9    0.13  36.49  33.5    0.17  45.50
  10500  31.8   -8.25  55.76  34.4    8.46  43.04  29.5   -0.58  65.91  32.7    0.51  49.54  33.5    0.20  45.50
  11100  29.6   -8.42  68.04  32.1    8.73  52.99  28.6   -0.96  71.05  29.8    0.82  64.51  32.7    0.22  49.15
  11700  29.2   -8.45  70.45  32.1    8.75  53.54  29.5   -0.96  65.91  28.6    0.82  71.72  33.0    0.27  47.24
  12300  27.4   -8.44  80.47  30.5    8.66  63.09  27.6   -0.69  78.81  27.3    0.64  76.97  32.4    0.31  50.33
  12900  25.7   -8.48  90.23  29.2    8.49  66.17  25.3    0.44  93.21  27.3   -0.80  76.97  31.8    0.32  54.02
  13500  24.3   -8.57  95.81  26.5    8.20  78.66  23.6    1.36 104.48  27.3   -1.39  76.61  30.2    0.32  62.45
  14100  25.2   -8.61  89.71  28.2    8.20  69.43  24.5    1.58  99.01  28.1   -1.39  70.71  26.5    0.16  84.53
  14700  22.9   -8.61 103.11  30.9    8.83  67.48  22.6    1.58 110.20  31.6    1.34  56.61  23.0   -0.09 104.57
  15300  23.2   -7.84 104.85  34.3    8.41  54.51  23.3    1.23 105.49  31.6    1.95  56.61  21.8   -0.31 112.55
  15900  23.5   -6.55 107.73  34.0    7.38  58.51  23.1    1.23 106.97  32.3   10.47  57.58  20.8   -0.45 116.24
  16500  23.5   -5.04 107.73  34.0    5.99  58.51  23.1    1.50 106.97  30.5   10.42  69.43  20.8   -0.52 116.24
  17100  20.6   -4.18 119.64  27.9    3.54  71.98  20.1    2.56 122.93  26.1    1.34  91.36  23.3   -0.61 103.47
  17700  18.6   -3.83 131.98  22.8    3.04  99.37  18.5    3.26 128.75  23.2   -2.76 100.64  26.2   -0.61  93.57
  18300  18.0   -3.81 136.70  18.8    3.04 119.34  18.1    3.26 130.02  22.5   -2.92 107.30  27.3   -0.34  87.03
  18900  17.6   -3.12 145.74  16.7    2.14 136.52  18.1    2.67 130.02  22.3   -2.92 109.49  27.3   -0.09  87.03
  19500  17.4   -2.14 152.03  14.2    1.20 140.69  20.0    1.50 119.67  22.2   -2.52 113.95  26.1    0.21  96.15
  20100  16.3   -1.24 155.77  13.3    0.58 142.62  19.1    0.24 120.81  20.5   -1.64 122.32  25.3    0.22 104.35
  20700  16.1   -0.91 154.63  14.4    0.22 140.24  19.1   -0.01 120.81  19.2   -1.27 125.41  23.4    0.21 111.11
  21300  14.5   -0.77 154.63  13.4   -0.21 141.71  16.1   -0.36 130.12  18.3   -0.73 129.30  21.3    0.20 120.71
  21900  13.8   -0.43 148.35  12.5   -0.62 143.90  12.9   -0.01 142.38  15.8   -0.45 136.36  17.6    0.16 130.35
  22500  12.8   -0.09 144.22  11.7   -0.76 144.51  11.8    0.14 144.40  13.7   -0.57 141.52  15.1    0.07 138.09
  23100  12.4   -0.12 144.22  10.9   -0.76 143.90  11.8    0.75 144.91  12.0   -0.82 143.14  13.2    0.04 141.82
  23700  11.9    0.30 144.05   9.8   -0.47 145.77  11.8    0.92 145.42  11.2   -1.28 143.43  11.9   -0.02 143.64
  24300   8.9    0.33 146.11  10.8   -0.55 143.90  12.8    9.85 146.67   9.4   -1.64 145.35  12.4   -0.02 145.15
  24900   8.9    0.37 147.30  11.9   -0.12 145.06  11.6   10.31 147.59   9.4   -1.64 147.35  12.0    0.01 146.73
  25500   7.3    0.29 147.79  13.2    0.04 144.38  11.8   14.80 147.91   7.0   -1.43 147.62   9.9    0.09 147.69
  26100   9.6    0.30 147.78  15.7   -0.18 147.43   8.2    2.11 147.84   7.3   -1.33 147.69 -99999 -9999999 -999999
  26700 -99999 -9999999 -999999  15.7   -7.32 143.90 -99999 -9999999 -999999   8.4   -1.27 147.64 -99999 -9999999 -999999
  27300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27900 -99999 -9999999 -999999  10.8   -7.32 143.90 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  28500 -99999 -9999999 -999999  10.4   -8.41 146.00 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29100 -99999 -9999999 -999999  10.0   -8.01 147.32 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29700 -99999 -9999999 -999999   9.5   -8.35 149.02 -99999 -9999999 -999999  10.0  -10.70 148.55 -99999 -9999999 -999999
  30300 -99999 -9999999 -999999   9.5   -8.35 149.02 -99999 -9999999 -999999  10.0  -10.70 148.55 -99999 -9999999 -999999
  30900 -99999 -9999999 -999999   9.1   -7.21 149.95 -99999 -9999999 -999999  10.0  -14.93 148.09 -99999 -9999999 -999999
  31500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  10.0  -10.70 148.55 -99999 -9999999 -999999
  32100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   8.4  -14.09 149.20 -99999 -9999999 -999999
  32700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  10.0  -17.47 149.85 -99999 -9999999 -999999
  33300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  10.0  -17.47 149.85 -99999 -9999999 -999999
  33900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  34500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  37500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  40500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  43500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  44100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  44700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  45300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  45900 -99999 -9999999 -999999   5.8  -15.78 150.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  46500 -99999 -9999999 -999999   5.8  -15.78 150.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  47100 -99999 -9999999 -999999   5.7  -16.06 150.53 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  47700 -99999 -9999999 -999999   5.6  -16.34 150.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
