#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-01T23:14:51
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-01T23:00:00.000
#DataEndTime: 2024-04-01T23:14:37.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
  17700  17.2   -2.91 134.15  17.3    2.25 133.92  13.7    2.31 141.84  17.6   -3.44 132.25  18.0    0.05 129.91
  18300  15.6   -1.92 138.15  17.2    1.67 134.35  12.2    2.94 144.27  17.6   -3.50 132.59  18.0    0.05 129.91
  18900  15.6   -1.08 138.15  17.2    1.07 134.35  13.5    2.94 142.12  19.1   -3.50 126.73  18.3    0.11 128.22
  19500  14.2   -0.93 141.23  17.2    0.84 134.35  14.3    2.69 139.96  20.1   -2.60 122.05  19.9    0.14 121.07
  20100  13.9   -0.99 141.72  15.7    0.77 137.95  14.9    2.23 139.04  19.4   -1.74 124.67  19.8    0.15 121.42
  20700  12.8   -0.95 143.26  14.6    0.68 140.45  14.7    1.96 139.17  18.3   -1.10 126.93  19.7    0.07 121.12
  21300  12.5   -1.09 143.39  14.3    0.68 140.65  14.7    1.70 139.17  18.2   -0.99 127.00  18.5    0.09 125.68
  21900  12.5   -1.09 143.39  14.3    0.68 140.65  14.7    1.73 144.45  13.8   -0.74 140.01  15.6    0.01 137.07
  22500  13.0   -0.87 144.87  13.2    0.75 142.34  12.7    1.72 146.12  11.5   -0.74 144.65  14.7   -0.19 139.27
  23100  11.2   -0.91 146.38  11.7    0.88 144.03  10.7    1.33 146.94  10.8   -0.47 145.38  15.1   -0.19 140.06
  23700  10.2   -1.30 147.06  10.3    1.08 145.77 -99999 -9999999 -999999  10.8   -0.18 145.38  14.1   -0.36 144.02
  24300   8.7   -1.26 147.24  10.3    1.14 146.51 -99999 -9999999 -999999  10.4    0.13 145.79  13.2   -0.53 144.97
  24900   9.3   -2.29 147.19  10.7    1.35 146.23 -99999 -9999999 -999999  11.6    0.78 145.79  13.3   -0.59 147.77
  25500   9.3   -2.29 147.19   9.7    1.35 147.18 -99999 -9999999 -999999  10.9    0.78 146.68 -99999 -9999999 -999999
  26100 -99999 -9999999 -999999  10.0    1.21 147.78 -99999 -9999999 -999999  11.2    1.29 147.18 -99999 -9999999 -999999
  26700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   9.4    1.94 147.60 -99999 -9999999 -999999
  27300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   6.3    0.61 147.74 -99999 -9999999 -999999
