 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
	5350.0 	8.6 	nan 	292.4 	8.2 	nan 	292.69 	7.0 	0.58 	294.38 	9.5 	nan 	290.19 	6.1 	0.93 	295.16
	5500.0 	8.7 	nan 	292.45 	8.2 	nan 	292.77 	7.1 	0.56 	294.27 	9.8 	nan 	290.13 	6.3 	0.72 	295.05
	5650.0 	8.6 	nan 	292.75 	8.1 	nan 	293.2 	7.1 	-0.19 	294.26 	9.7 	nan 	290.17 	6.3 	0.72 	295.05
	5800.0 	8.2 	nan 	293.08 	8.0 	nan 	293.26 	7.1 	-0.19 	294.35 	9.8 	nan 	290.28 	6.2 	1.3 	295.14
	5950.0 	8.5 	0.44 	292.8 	8.0 	nan 	293.26 	7.3 	0.22 	294.15 	9.6 	nan 	290.28 	6.2 	1.38 	295.17
	6100.0 	8.5 	0.54 	292.72 	8.0 	nan 	293.08 	7.3 	0.25 	294.18 	9.9 	nan 	289.74 	6.2 	1.52 	295.23
	6250.0 	8.6 	0.54 	292.81 	7.8 	nan 	293.16 	7.4 	-0.22 	294.32 	9.7 	nan 	289.44 	6.2 	1.62 	295.23
	6400.0 	8.9 	0.49 	292.22 	8.0 	nan 	292.65 	7.5 	0.37 	293.89 	9.8 	nan 	289.44 	6.2 	1.65 	295.27
	6550.0 	8.9 	nan 	291.93 	8.1 	nan 	292.62 	7.4 	0.28 	293.99 	9.7 	nan 	289.34 	6.1 	1.56 	295.22
	6700.0 	9.0 	nan 	295.32 	8.2 	nan 	292.62 	7.2 	0.26 	294.23 	9.7 	nan 	290.16 	6.1 	1.36 	295.22
	6850.0 	8.7 	nan 	295.82 	8.1 	nan 	292.95 	7.3 	-0.15 	294.01 	9.7 	nan 	290.16 	6.0 	1.44 	295.26
	7000.0 	8.6 	nan 	292.68 	8.5 	nan 	292.75 	7.3 	-0.04 	293.71 	9.6 	nan 	290.21 	6.1 	1.42 	295.15
	7150.0 	8.5 	nan 	292.68 	8.1 	nan 	293.14 	7.3 	-0.37 	293.92 	9.6 	nan 	289.42 	6.1 	1.44 	295.15
	7300.0 	8.5 	nan 	293.01 	8.1 	nan 	293.52 	7.4 	-0.37 	293.77 	9.9 	nan 	289.74 	6.2 	1.61 	295.17
	7450.0 	8.5 	nan 	292.44 	8.5 	nan 	293.13 	7.6 	-0.36 	293.56 	10.2 	nan 	288.88 	6.4 	1.61 	295.17
	7600.0 	9.0 	nan 	291.24 	9.0 	nan 	292.12 	7.9 	-0.15 	293.07 	10.6 	nan 	288.03 	6.7 	1.33 	294.95
	7750.0 	9.6 	nan 	290.16 	9.2 	nan 	291.36 	8.6 	-0.06 	292.45 	11.3 	nan 	286.92 	6.7 	1.08 	294.78
	7900.0 	10.0 	0.57 	289.64 	9.6 	0.95 	290.39 	9.1 	0.19 	291.98 	11.7 	nan 	285.4 	7.0 	1.05 	294.43
	8050.0 	10.3 	0.57 	289.19 	10.0 	0.95 	289.94 	9.1 	0.38 	291.98 	11.7 	0.38 	285.29 	7.1 	0.86 	294.27
