#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-03-28T09:01:17
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-03-25T23:30:00.000
#DataEndTime: 2024-03-25T23:44:37.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  39.1    0.02  19.37  37.5   -0.04  22.63  39.0   -0.04  22.24  38.3   -0.01  19.78  42.4   -0.15   1.94
    900  34.0   -0.09  48.10  31.9   -0.09  59.51  35.5   -0.09  41.11  32.6   -0.09  56.08  36.6   -0.10  37.51
   1500  30.1   -0.19  70.95  30.3   -0.14  69.89  37.6   -0.02  34.25  32.8   -0.30  56.21  39.2   -0.05  29.04
   2100  32.8   -0.28  53.56  31.2   -0.06  63.82  39.4    0.11  30.22  34.6   -0.46  50.29  39.7   -0.01  28.06
   2700  35.6   -0.67  44.11  35.0    0.15  50.06  42.9    0.22  21.15  37.9   -0.61  38.42  42.0    0.01  21.77
   3300  36.4   -1.48  39.86  36.8    0.99  39.32  44.8    0.26  16.30  40.1   -0.65  27.67  43.5    0.02  18.22
   3900  39.2   -2.15  28.19  36.8    1.58  39.32  44.8    0.28  16.30  40.1   -0.72  27.67  43.5    0.02  18.22
   4500  40.1   -2.60  26.08  38.3    2.21  36.77  44.2    0.29  16.27  39.1   -0.83  28.19  43.4    0.01  18.68
   5100  41.0   -2.70  23.57  37.8    2.44  40.34  42.2    0.47  21.09  36.6   -0.89  35.30  41.4   -0.00  21.35
   5700  37.0   -2.73  34.70  32.4    2.48  58.42  39.2    0.69  28.14  33.9   -0.93  46.24  37.7   -0.05  29.66
   6300  37.0   -2.66  34.70  31.0    2.31  62.80  35.5    0.73  37.79  32.2   -0.93  51.59  34.8   -0.07  35.71
   6900  35.5   -2.79  38.15  33.0    2.57  51.84  35.0    0.73  39.47  34.6   -0.93  41.89  31.8   -0.09  48.89
   7500  34.0   -2.92  43.54  31.6    2.73  55.23  33.8    1.05  45.31  32.8   -1.05  48.49  30.9   -0.12  53.33
   8100  32.8   -3.28  50.01  30.7    2.90  57.44  33.0    1.21  48.48  32.8   -1.24  48.77  29.4   -0.11  61.22
   8700  31.1   -4.10  59.80  32.8    3.72  46.73  32.1    1.23  56.54  33.3   -1.45  45.90  30.3   -0.08  56.97
   9300  31.1   -5.17  59.80  32.8    4.64  46.73  32.1    1.43  56.54  33.3   -1.54  45.90  30.0   -0.06  60.09
   9900  28.1   -5.79  77.40  31.1    5.70  57.57  29.0    1.94  74.75  31.2   -2.32  58.63  30.0   -0.02  60.09
  10500  25.5   -6.22  92.57  28.6    5.94  70.55  24.7    2.36 102.35  29.3   -2.89  70.70  26.8   -0.00  79.37
