#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-03-28T09:02:04
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-03-27T15:00:00.000
#DataEndTime: 2024-03-27T15:14:38.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=8, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300   2.6    1.77  19.17  -2.0   -1.21  -8.30   5.0   -3.05  18.31  -0.8    3.73   0.57  10.2    0.81  64.95
   1500  16.3    0.04  20.03  13.4    0.06   7.15  16.9    0.11  24.03  12.7   -0.07   9.16  17.6    0.19  63.51
   2700  22.6   -1.48  18.88  21.3    1.19  10.97  22.7    1.39  22.89  19.5   -1.54   9.54  20.6   -0.23  53.22
   3900  27.1   -2.62  19.93  26.4    1.83  16.12  26.4    2.20  25.46  24.0   -2.22  12.49  23.0   -0.45  49.97
   5100  27.2   -3.30  20.69  27.3    2.25  16.88  27.5    2.20  23.84  25.2   -2.22  12.40  23.7   -0.47  40.25
   6300  25.7   -3.84  19.17  26.6    2.75  12.87  26.4    2.03  18.88  24.3   -1.97   9.35  23.8   -0.47  29.28
   7500  25.4   -4.53  19.17  26.6    3.99  12.30  26.2    1.95  18.88  24.3   -1.85   9.16  23.8   -0.35  23.56
   8700  25.1   -5.48  21.17  26.7    5.29  13.73  26.3    2.17  17.64  25.3   -1.91   9.92  23.3   -0.26  15.16
   9900  24.7   -6.61  16.21  24.9    6.61  13.35  25.0    3.21  16.98  24.8   -3.27   9.63  21.7   -0.03  15.16
  11100  23.6   -7.52  12.68  24.0    7.27  15.54  23.6    4.76  14.31  24.1   -4.77  10.30  21.1   -0.00  17.36
  12300  22.6   -8.51  11.73  22.5    8.31  19.45  21.4    6.16  14.97  25.2   -6.39  11.92  20.9   -0.00  18.12
  13500  20.3   -9.18  11.73  21.4    8.31  19.45  15.0    6.16  12.11  25.2   -6.39  11.92  20.2    0.13  22.41
  14700  19.2   -9.39  10.11  19.8    8.31  19.17   9.2   12.76   6.96  25.8   -0.13  14.88  19.4    0.27  22.79
  15900  13.6  -13.90   7.82  20.6    9.02  20.03   7.0   12.15   6.48  22.0    0.89  13.26  19.5    0.21  22.32
  17100  13.6  -13.66   5.63  18.3    7.45  19.26  11.6    7.19  11.54  24.6   -0.43  19.65  18.6    0.28  20.98
  18300  14.6  -12.35   4.96  18.4    5.05  14.31  15.5    8.57  24.13  19.9    2.43  14.02  17.7    0.18  16.31
  19500  15.9   -6.43   4.86  18.4    5.12  17.93  17.9    8.57  29.28  19.9  -10.88  14.50  14.7    0.08  10.49
  20700  12.1   -4.54   4.86  15.1    9.72  15.64  17.9    8.16  29.28  12.0  -10.88   6.10  11.5    0.08   5.72
