#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-05T10:45:43
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-05T10:30:00.000
#DataEndTime: 2024-04-05T10:45:18.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=16, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  54.3    1.16   0.41  58.3   -1.47  -8.47  54.1   -0.62  -0.82  53.1    0.51   0.12  51.1   -0.12   0.85
    900  48.9   -0.17  10.42  49.2   -0.15   9.94  47.4   -0.14  12.04  46.5   -0.14  13.38  45.2   -0.15  15.38
   1500  54.3   -1.08   7.11  50.4    0.92  10.55  46.4    0.25  14.08  47.6   -0.72  12.21  43.6   -0.24  19.58
   2100  58.7   -1.54   5.59  56.7    1.56   5.82  51.9    0.48   8.59  53.0   -1.05   8.28  50.9   -0.26  10.76
   2700  62.6   -1.60   3.36  60.8    1.78   3.61  56.8    0.59   5.63  58.3   -1.21   4.86  55.8   -0.26   6.83
   3300  63.0   -2.24   3.36  62.4    2.29   3.28  61.3    0.68   3.34  60.3   -1.23   3.62  60.1   -0.23   3.61
   3900  62.9   -2.98   3.33  62.4    2.85   3.28  62.5    0.74   3.12  62.2   -1.23   3.15  61.0   -0.15   3.41
   4500  61.4   -3.88   3.61  61.8    3.52   3.39  62.0    0.74   3.16  60.3   -1.22   3.59  60.3   -0.15   3.53
   5100  60.0   -4.17   3.92  60.6    3.77   3.66  62.0    0.66   3.16  58.6   -1.14   4.02  55.0   -0.24   6.93
   5700  58.3   -4.51   4.26  59.8    4.06   3.74  57.9    0.47   4.57  56.9   -0.97   4.34  50.7   -0.23   9.27
   6300  54.5   -5.22   5.48  57.8    4.92   4.21  54.8   -0.20   5.42  56.6   -0.38   4.32  47.0   -0.21  11.09
   6900  51.4   -6.21   7.45  55.2    5.95   5.76  50.2   -0.80   8.07  53.3    0.39   6.58  47.0   -0.14  11.09
   7500  44.5   -7.11  19.51  49.6    6.95  10.73  46.3   -1.26  12.49  47.4    1.05  13.56  45.3    0.09  14.64
   8100  38.6   -7.55  37.72  44.0    7.31  21.32  40.6   -1.52  29.69  42.7    1.39  25.72  42.3    0.09  24.99
   8700  29.7   -7.82  71.49  35.7    7.42  42.15  33.2   -1.79  53.21  34.0    1.53  47.12  36.9    0.02  41.39
   9300  28.9   -8.22  75.07  34.2    7.68  46.11  30.4   -1.79  62.87  33.1    1.68  50.59  31.7   -0.11  54.53
   9900  25.8   -8.74  93.01  31.9    8.12  55.81  29.0   -2.03  69.96  31.2    2.07  59.80  31.7   -0.30  54.53
  10500  24.5   -9.54 101.52  29.6    8.97  68.86  29.6   -2.08  66.28  30.1    2.18  65.92  29.3   -0.41  68.97
