#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-05-16T01:15:23
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-05-16T01:00:00.000
#DataEndTime: 2024-05-16T01:15:17.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=16, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
  14100  17.0   -5.35 134.54  13.6    5.68 161.29  15.7   -4.55 135.50  12.5    3.67 143.71  17.0   -0.34 132.71
  14700  15.8   -5.35 138.55  13.6    4.97 152.25  16.2   -4.07 133.36  12.5    3.41 143.71  16.3   -0.39 134.41
  15300  15.9   -4.79 139.00  13.8    4.29 148.07  17.2   -3.88 132.91  13.0    3.12 143.54  16.7   -0.24 135.69
  15900  16.2   -4.03 138.50  15.2    3.39 145.03  18.4   -3.64 129.53  12.4    2.58 144.60  26.9    7.68 132.24
  16500  15.5   -3.43 139.71  15.9    2.62 143.15  18.4   -3.28 129.53  11.9    1.99 145.05  27.8    7.78 126.57
  17100  15.2   -2.71 140.27  14.1    1.99 146.55  14.8   -2.71 139.26  11.9    1.50 145.05  27.1    7.68 127.43
  17700  15.0   -2.39 140.38  12.5    1.65 149.59  14.5   -2.94 140.80  11.9    1.44 145.05  26.8    7.82 130.02
  18300  14.0   -1.74 141.56  12.8    1.65 148.58  14.4   -2.92 140.85  12.1    1.44 144.26  22.4    4.97 101.95
  18900  13.5   -0.88 142.50  12.8    1.29 148.58  14.4   -2.10 140.85  12.7    1.25 144.19  22.4   -0.07 101.95
  19500  12.4    0.04 143.84  11.7    0.39 147.60  14.9   -2.10 140.47  13.4    1.25 145.24  24.4   -1.58  90.69
  20100  13.6    0.75 142.06  13.3   -0.59 144.36  17.9   -2.25 133.84  13.4    1.23 145.24  23.6   -1.51  94.13
  20700  15.0    1.34 137.77  14.8   -0.15 141.28  18.0   -1.83 132.29  13.2    0.89 146.01  34.6    3.39  95.26
  21300  18.2    2.10 129.03  14.3   -1.29 141.28  17.5   -1.35 133.18  12.2    0.59 146.84  27.2   -1.39 125.99
  21900  23.5    3.15 102.78  14.3    0.34 144.07  17.5   -1.23 143.05  12.7    0.73 147.80  17.8    0.27 145.42
  22500  23.5    9.57 102.78  15.8    1.02 143.76  15.7   -1.28 144.94  11.8    0.92 147.73  10.8    0.56 147.73
  23100  18.7    9.92 112.72  15.7    2.74 146.13  12.7   -0.89 151.65  12.3    0.56 146.89   7.5    0.56 147.73
  23700  22.8   16.29 121.44 -99999 -9999999 -999999   7.4   -0.65 153.66 -99999 -9999999 -999999   7.2    0.46 147.58
  24300  18.2   13.66 150.35 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   7.5    0.36 147.44
