#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-19T14:54:08
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-19T14:50:00.000
#DataEndTime: 2024-04-19T14:54:02.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=6, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30    14.29   262.91    0.28 -159.31    80
   0.90 -99999999 -99999999 -9999999 -9999999 -99999
   1.50    20.51   248.55   -0.34 -150.82   100
   2.10    21.36   247.28   -0.49 -146.91   100
   2.70    20.53   245.68   -0.66 -147.84   100
   3.30    20.94   248.14   -0.53 -146.91   100
   3.90    20.72   249.26   -0.42 -146.43   100
   4.50    18.36   248.96   -0.30 -145.73   100
   5.10    16.40   247.84   -0.14 -144.21   100
   5.70    15.09   249.54    0.11 -144.21   100
   6.30     5.73   220.33    1.33 -147.16   100
   6.90     7.43   233.39    2.89 -149.88   100
   7.50     6.94   238.14    2.87 -155.48   100
   8.10     6.26   242.43    2.84 -158.81   100
   8.70    15.50   255.10    1.63 -158.84   100
   9.30    13.22   250.70   -0.01 -160.97   100
   9.90    13.20   251.07    0.04 -159.23   100
  10.50    13.97   250.22    0.15 -157.80   100
  11.10    14.13   247.45    0.14 -157.80   100
  11.70    14.82   245.54    0.20 -165.37    89
  12.30    15.12   248.20    0.23 -169.56    94
  12.90    15.25   253.01    0.17 -169.56   100
  13.50    16.27   257.95    0.09 -170.60   100
  14.10    18.13   266.21    0.07 -171.04   100
  14.70    18.74   269.66    0.01 -171.23    70
  15.30    18.74   269.66   -0.02 -171.78   100
  15.90    18.66   268.33   -0.12 -171.78    78
  16.50    17.57   266.51   -0.05 -170.48   100
  17.10    15.75   261.68   -0.11 -170.48   100
  17.70    12.96   260.16   -0.09 -9999999    89
  18.30    10.84   258.34   -0.05 -9999999    79
  18.90     9.95   258.43    0.05 -9999999    70
