#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-04T18:24:28
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-04T18:20:00.000
#DataEndTime: 2024-04-04T18:24:02.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=6, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300   2.7    2.35 298.48  11.4    5.97 290.91  27.1    4.05 169.57  15.5   -2.38 275.40  14.3    0.01 286.60
    900   6.1    0.03 295.60 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
   1500  19.2   -2.11 273.80  26.3    6.00 241.85  33.3    3.90 132.37  22.9   -1.51 253.03  25.3    0.00 249.30
   2100  19.2   -3.42 228.84  27.9    5.27 210.14  32.9    3.57 127.97  28.3   -2.15 209.47  31.6   -0.01 188.06
   2700  24.3   -4.03 200.51  26.9    4.65 163.33  31.5    2.78 114.35  27.2   -2.15 170.88  30.5   -0.03 139.41
   3300  25.1   -4.13 195.28  27.1    4.01 162.70  31.5    2.04 114.35  27.2   -1.89 170.88  30.8   -0.05 135.85
   3900  25.1   -4.09 195.28  29.0    4.01 139.22  30.0    1.52 137.31  27.0   -1.77 177.43  30.8   -0.07 135.85
   4500  25.5   -4.09 193.84  30.6    5.32 126.30  30.0    1.40 137.31  28.1   -1.56 166.60  30.8   -0.07 135.85
   5100  26.7   -4.35 177.67  31.0    5.68 119.13  28.8    1.09 143.89  27.0   -1.15 172.50  28.1   -0.06 163.30
   5700  29.9   -4.85 136.32  33.9    6.09  90.70  27.5    0.64 159.40  28.9   -0.64 146.54  26.4   -0.06 184.72
   6300  31.5   -5.41 114.23  33.9    6.41  90.70  27.3    0.26 155.14  28.5   -0.09 152.82  24.5   -0.04 202.22
   6900  31.5   -5.95 114.23  31.4    6.13 118.17  27.3    0.17 155.14  28.4   -0.00 147.44  23.3   -0.01 209.65
   7500  27.8   -6.51 157.58  27.1    6.13 166.35  26.1   -0.11 170.87  23.7    0.40 202.58  20.3   -0.04 237.63
   8100  23.4   -6.98 208.25  23.8    6.71 207.38  23.8   -0.46 199.82  19.9    0.75 243.84  17.3   -0.01 260.31
   8700  19.4   -7.54 249.35  20.9    7.29 235.22  21.0   -0.64 229.50  17.6    1.15 262.96  14.6    0.02 279.03
   9300  16.2   -8.18 273.32  18.4    8.01 257.39  17.6   -1.08 260.45  14.6    1.06 277.15  12.0    0.04 285.91
   9900  13.9   -8.81 283.74  14.7    8.64 280.52  15.5   -1.14 274.87  11.9    1.06 285.81   9.9    0.07 289.65
  10500  12.3   -9.26 289.51  13.0    9.09 286.81  13.4   -1.14 283.04   9.1    1.09 292.34   8.7    0.11 292.79
  11100  11.7   -9.72 291.27  11.1    9.47 292.85  13.1   -1.13 283.86   7.9    0.98 293.83   7.5    0.15 294.08
  11700  11.0  -10.18 292.56  10.2    9.82 294.26  11.8   -0.79 287.00   7.0    0.67 294.60   8.1    0.30 294.65
  12300  10.4  -10.62 293.86   9.9   10.27 294.77  11.0    0.05 288.37   7.5    0.67 294.84   8.4    0.54 294.41
  12900  10.0  -10.69 295.03   9.9   10.63 294.77   9.8    1.24 291.42   8.9    0.02 294.84   9.2    0.72 294.32
  13500   8.5  -11.12 296.42  10.0   11.31 296.96   8.2    1.77 293.01  10.2   -0.47 294.69   7.4    0.72 294.82
  14100   8.0  -11.34 297.00   9.3   11.71 298.16   8.1    1.77 293.20  10.7   -0.66 294.28   7.6    0.64 294.70
  14700   7.0  -11.45 298.00   8.9   11.71 297.30   7.6    1.66 293.64  10.7   -0.86 294.15   9.2    0.61 294.43
  15300   8.6  -11.45 296.76   9.4    7.94 295.23   8.8    1.15 292.76  10.1   -1.16 293.71   8.8    0.40 294.89
  15900   7.9  -10.79 296.66   7.8    3.99 295.77   8.8    1.15 294.23   8.6   -0.86 294.15   8.8    0.40 294.89
  16500   8.1   -9.23 295.54   7.8    1.65 294.41   8.8    1.13 294.27   7.9   -0.98 294.42   9.8    0.40 294.89
  17100   7.6   -7.10 295.31   8.1    1.65 294.41   8.2    1.20 294.95   7.7   -1.42 294.95  10.2    0.39 294.71
  17700   8.5   -5.33 294.34   8.4    3.27 294.56   7.3    1.18 295.50   7.8   -1.32 294.87   7.8    0.24 295.27
  18300   7.5   -4.59 294.97   8.4    4.70 294.92   5.3    0.96 295.63   6.9   -1.21 294.97 -99999 -9999999 -999999
  18900   8.0   -4.18 294.40   8.4    4.70 295.40   6.0    1.16 295.53   6.9   -1.21 294.97 -99999 -9999999 -999999
  19500   7.6   -3.38 294.53   7.7    4.71 295.72   6.6    1.06 295.46 -99999 -9999999 -999999 -99999 -9999999 -999999
  20100   8.7   -2.52 294.53   7.7    4.71 295.72   6.6    1.06 295.46 -99999 -9999999 -999999 -99999 -9999999 -999999
  20700   7.6   -1.82 295.28 -99999 -9999999 -999999   7.4    1.54 295.60 -99999 -9999999 -999999 -99999 -9999999 -999999
  21300   8.0   -1.58 295.37 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  21900   6.3   -1.39 295.49 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  22500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  23100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  23700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  24300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  24900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  25500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  26100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  26700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
