#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-09T03:45:45
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-09T03:30:00.000
#DataEndTime: 2024-04-09T03:45:17.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=8, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300   4.5    2.95  82.11   6.8   -1.34  79.82   1.5    0.07 -10.87   6.8    0.57  45.78   9.6    0.38  -2.29
   1500  18.4    0.19  71.81  18.6    0.16  57.51  14.9   -0.01  16.02  17.6    0.12  43.77  15.9    0.08  18.02
   2700  28.3   -1.70  72.38  25.8    1.27  31.57  22.2   -0.18  32.71  24.4    0.12  41.87  20.3   -0.15  33.19
   3900  33.8   -2.73  75.34  29.2    1.94  30.23  25.9   -0.33  45.97  28.1    0.14  45.78  23.0   -0.26  44.82
   5100  33.9   -2.91  71.91  29.2    2.17  27.47  26.9   -0.51  56.46  28.9    0.16  49.02  24.0   -0.26  50.83
   6300  34.1   -3.07  71.81  27.8    2.33  26.04  26.3   -0.69  61.32  29.3    0.36  50.64  24.7   -0.20  57.51
   7500  33.6   -3.21  57.98  24.9    4.69  25.37  26.3   -0.69  61.32  29.3    0.36  50.64  24.7   -0.10  57.51
   8700  32.0   -3.47  39.10  22.0    7.70  20.60  26.9   -0.56  55.60  29.7    0.31  44.73  24.8   -0.00  58.27
   9900  30.2   -3.87  23.75  20.2    8.62  15.64  26.8   -0.32  41.29  28.7    0.10  38.05  24.1   -0.00  53.50
  11100  24.4   -5.16  14.69  20.2   11.20  20.60  24.4    0.06  27.37  26.7   -0.42  25.75  22.8   -0.07  49.97
  12300  19.3   -5.96  10.40  21.8   11.40  25.18  21.7    0.12  17.36  22.4   -0.58  17.83  21.5   -0.06  43.11
  13500  19.3   -5.96  10.40  20.3   12.74  22.70  19.7    0.17  10.78  19.0   -0.60   9.16  21.1   -0.04  35.95
  14700  23.1   -7.13  33.66  23.7   11.85  27.75  19.5    0.21   8.20  16.0   -0.65   8.01  21.1   -0.01  35.95
  15900  29.6  -10.79  45.11  25.5   12.85  32.47  18.0    0.32   7.34  14.4   -0.65   6.77  20.0   -0.01  33.38
  17100  30.8   -9.79  50.64  23.5   16.97  30.61  16.1    0.25   6.58  14.6   -0.56   8.20  19.7   -0.07  28.80
  18300  30.8  -13.70  50.64  20.3   16.97  24.32  14.8    0.35   6.58  14.5   -0.86   6.29  19.7   -0.24  27.28
  19500  23.2  -17.33  25.75  21.9   20.53  28.32  12.8    0.06   5.15  14.9   -0.61   5.05  17.0   -0.30  22.51
  20700  23.2  -12.89  25.75  16.2   24.53  20.79  10.3   -0.31   4.01  12.6   -0.51   3.91  15.0   -0.30  14.21
