#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-16T09:45:45
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-16T09:30:00.000
#DataEndTime: 2024-04-16T09:45:17.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=8
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30    15.43   291.96   -0.97 -171.55    78
   1.50 -99999999 -99999999 -9999999 -162.26 -99999
   2.70    10.40   256.63    0.15 -156.10    84
   3.90 -99999999 -99999999 -9999999 -153.02 -99999
   5.10    15.43   251.20    0.18 -152.71    78
   6.30    15.69   254.60    0.20 -152.75    85
   7.50    16.90   257.07    0.10 -153.11    94
   8.70    17.51   256.39    0.09 -154.29   100
   9.90    19.84   260.91    0.01 -155.77   100
  11.10    23.75   259.11    0.27 -155.77    89
  12.30    28.72   259.47    0.73 -156.36   100
  13.50    30.20   261.90    0.60 -155.62   100
  14.70    29.07   266.72    0.05 -154.60    94
  15.90    28.39   262.16    1.58 -150.37   100
  17.10    33.43   267.91    0.21 -151.02    75
  18.30    26.43   256.88    1.02 -150.50    77
  19.50    17.96   251.96    1.32 -148.42    83
  20.70     6.63   187.01    3.10 -156.65    83
  21.90     2.35    87.56   -0.22 -161.53    94
  23.10     4.63   122.01   -0.23 -165.66    94
  24.30     7.63   250.40   -1.48 -171.49    70
  25.50    17.36   204.24   -2.59 -171.49    82
  26.70    31.88   203.73   -4.25 -171.29    77
  27.90    40.40   236.12   -6.87 -9999999    60
  29.10 -99999999 -99999999 -9999999 -9999999 -99999
  30.30 -99999999 -99999999 -9999999 -9999999 -99999
  31.50 -99999999 -99999999 -9999999 -9999999 -99999
  32.70 -99999999 -99999999 -9999999 -9999999 -99999
  33.90 -99999999 -99999999 -9999999 -9999999 -99999
  35.10 -99999999 -99999999 -9999999 -9999999 -99999
  36.30 -99999999 -99999999 -9999999 -9999999 -99999
  37.50 -99999999 -99999999 -9999999 -9999999 -99999
  38.70 -99999999 -99999999 -9999999 -9999999 -99999
  39.90 -99999999 -99999999 -9999999 -9999999 -99999
  41.10 -99999999 -99999999 -9999999 -9999999 -99999
  42.30 -99999999 -99999999 -9999999 -9999999 -99999
  43.50 -99999999 -99999999 -9999999 -9999999 -99999
  44.70 -99999999 -99999999 -9999999 -9999999 -99999
  45.90 -99999999 -99999999 -9999999 -9999999 -99999
  47.10 -99999999 -99999999 -9999999 -9999999 -99999
  48.30 -99999999 -99999999 -9999999 -9999999 -99999
  49.50 -99999999 -99999999 -9999999 -9999999 -99999
  50.70 -99999999 -99999999 -9999999 -9999999 -99999
  51.90 -99999999 -99999999 -9999999 -9999999 -99999
  53.10 -99999999 -99999999 -9999999 -9999999 -99999
  54.30 -99999999 -99999999 -9999999 -9999999 -99999
  55.50 -99999999 -99999999 -9999999 -9999999 -99999
  56.70 -99999999 -99999999 -9999999 -9999999 -99999
  57.90 -99999999 -99999999 -9999999 -9999999 -99999
  59.10 -99999999 -99999999 -9999999 -9999999 -99999
  60.30 -99999999 -99999999 -9999999 -9999999 -99999
  61.50 -99999999 -99999999 -9999999 -9999999 -99999
  62.70 -99999999 -99999999 -9999999 -9999999 -99999
  63.90 -99999999 -99999999 -9999999 -9999999 -99999
  65.10 -99999999 -99999999 -9999999 -9999999 -99999
  66.30 -99999999 -99999999 -9999999 -9999999 -99999
  67.50 -99999999 -99999999 -9999999 -9999999 -99999
  68.70 -99999999 -99999999 -9999999 -9999999 -99999
  69.90 -99999999 -99999999 -9999999 -165.63 -99999
  71.10 -99999999 -99999999 -9999999 -167.14 -99999
  72.30 -99999999 -99999999 -9999999 -166.76 -99999
  73.50    45.13    96.10   -1.09 -168.56    62
  74.70    43.79   101.62   -0.31 -166.76    70
  75.90    47.05   100.81   -0.30 -167.32    70
  77.10    48.07   105.95    0.17 -165.99    93
  78.30    50.39   109.43    0.74 -9999999    94
  79.50    57.53   117.10   -0.10 -9999999    67
  80.70 -99999999 -99999999 -9999999 -9999999 -99999
  81.90 -99999999 -99999999 -9999999 -9999999 -99999
  83.10 -99999999 -99999999 -9999999 -168.40 -99999
