#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-14T03:09:50
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-14T03:06:14.000
#DataEndTime: 2024-04-14T03:09:33.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=5
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  12.0    2.14   1.13  12.0    0.18   1.13  12.0   -0.46   1.13  12.0    4.22   1.13  12.0    0.27   1.13
    900  12.0   -0.49   1.13  12.0    0.81   1.13  12.0    0.88   1.13  12.0   -0.08   1.13  12.0   -0.26   1.13
   1500  12.0   -2.41   1.13  12.0    1.34   1.13  12.0    1.43   1.13  12.0   -1.94   1.13  12.0   -0.60   1.13
   2100  12.0   -3.48   1.13  12.0    1.70   1.13  12.0    1.45   1.13  12.0   -2.55   1.13  12.0   -0.75   1.13
   2700  12.0   -3.65   1.13  12.2    1.87   1.13  12.0    1.75   1.13  12.0   -2.95   1.13  12.0   -0.77   1.13
   3300  12.0   -3.65   1.13  12.2    2.15   1.13  12.0    1.44   1.13  12.0   -2.50   1.13  12.0   -0.75   1.13
   3900  12.0   -3.58   1.13  12.0    2.40   1.13  12.0    1.00   1.13  12.0   -1.90   1.13  12.0   -0.45   1.13
   4500  12.0   -3.29   1.13  12.0    2.72   1.13  12.0    0.71   1.13  12.0   -1.89   1.13  12.0   -0.13   1.13
   5100  12.0   -3.29   1.13  12.0    2.83   1.13  12.0    0.50   1.13  12.0   -1.93   1.13  12.0    0.17   1.13
   5700  11.0   -3.31   1.13  11.0    3.14   1.13  11.0    0.50   1.13  11.0   -1.88   1.13  11.0    0.17   1.13
   6300  10.0   -3.48   1.13  10.0    3.48   1.13  10.0    0.61   1.13  10.0   -2.25   1.13  10.0    0.15   1.13
   6900   9.0   -4.17   1.13   9.0    3.95   1.13   9.0    1.07   1.13   9.0   -2.50   1.13   9.0    0.12   1.13
   7500   9.0   -4.74   1.13   9.0    4.60   1.13   9.0    1.54   1.13   9.0   -2.62   1.13   9.0    0.10   1.13
   8100   9.0   -5.57   1.13   9.0    5.30   1.13   9.0    9.73  96.72   9.0   -2.86   1.13   9.0    0.08   1.13
   8700   9.0   -6.15   1.13   9.0    6.02   1.13   9.0    9.73  96.72   9.0   -2.86   1.13   9.0    0.07   1.13
   9300   9.0   -6.90   1.13   9.0    6.65   1.13   9.0    9.76  96.72   9.0   -2.66   1.13   9.0   -0.06   1.13
   9900   9.0   -7.61   1.13   9.0    6.65   1.13   9.0   10.22  96.72   9.0   -2.94   1.13   9.0   -0.28   1.13
  10500   9.0   -8.38   1.13   9.0    0.15  96.72   9.0    3.33   1.13   9.0   -3.73   1.13   9.0   -0.49   1.13
  11100   9.0   -8.99   1.13   9.0    0.51  96.72   9.0    3.32   1.13   9.0   -3.65   1.13   9.0   -0.49   1.13
  11700   9.0   -8.38   1.13   9.1   -2.09  96.72   9.0    4.06   1.13   9.0   -4.57   1.13   9.0   -0.47   1.13
  12300   9.0   -8.99   1.13   9.1   -1.81  96.72   9.0    4.06   1.13   9.0   -4.66   1.13   9.0   -0.32   1.13
  12900   9.0   -9.54   1.13   9.4    2.65   1.13   9.0    3.72   1.13   9.0   -4.66   1.13   9.0   -0.13   1.13
  13500   9.0   -9.90   1.13   9.1    5.97   1.13   9.0    2.95   1.13   9.0   -3.92   1.13   9.0   -0.04   1.13
  14100   9.0  -10.00   1.13   9.4    5.92   1.13   9.0    2.95   1.13   9.0   -3.13   1.13   9.0    0.06   1.13
  14700   9.0  -10.00   1.13  10.8    5.92   1.13   9.0    3.22   1.13   9.0   -2.88   1.13   9.0    0.06   1.13
  15300   9.0   -9.27   1.13  10.8    5.21   1.13   9.0    4.31   1.13   9.0   -2.88   1.13   9.0    0.01   1.13
  15900   9.0   -9.27   1.13  10.7    7.34   1.13   9.2   10.92   1.13   9.0   -2.88   1.13   9.0    0.05   1.13
  16500   9.0   -8.92   1.13  11.6    2.90  96.72   9.2   16.13   1.13   9.0   -3.07  96.72   9.0    0.08   1.13
  17100   9.0    6.42   1.13   9.9    1.91  96.72   9.3   16.13  96.72   9.0   -3.31 144.51   9.0    0.10   1.13
  17700   9.0   20.87   1.13   9.8    4.99   1.13   9.0    9.70  96.72 -99999   -3.51 287.90   9.0    0.17   1.13
