#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-05T04:54:08
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-05T04:50:00.000
#DataEndTime: 2024-04-05T04:53:59.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=6, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300   8.6    1.92 302.48   5.7   -2.48 310.32  -1.8   -0.86 324.71  14.9   -1.09 283.94  13.5    0.10 288.43
    900  11.3   -0.10 291.92  11.0   -0.07 292.10   8.7   -0.10 294.51 -99999 -9999999 -999999  15.6    0.00 280.00
   1500  18.4   -1.83 254.87  19.9    1.79 239.32  23.2    0.51 222.20  24.4   -0.69 250.21  24.3   -0.15 207.77
   2100  23.9   -2.92 200.77  25.6    2.90 185.50  28.0    0.90 167.29  31.3   -1.05 195.79  24.3   -0.20 207.77
   2700  30.4   -3.36 142.64  32.2    3.27 120.97  33.6    1.02 106.13  31.3   -1.22 128.68  29.7   -0.21 151.06
   3300  30.4   -3.42 142.64  32.9    3.42 113.71  33.6    1.04 106.13  32.2   -1.22 117.13  30.5   -0.21 141.40
   3900  31.1   -3.46 134.55  32.9    3.51 113.71  34.1    1.04  98.89  32.2   -1.22 117.13  30.5   -0.14 141.40
   4500  32.4   -3.52 122.00  35.8    3.56  89.41  34.0    0.99  95.02  35.1   -1.16  91.91  31.7   -0.14 127.77
   5100  32.9   -3.66 114.45  35.7    3.63  86.13  31.0    0.82 132.61  34.6   -0.95  90.89  30.3   -0.24 131.29
   5700  32.8   -4.15 109.60  33.9    4.28  94.81  28.2    0.64 160.51  32.7   -0.69 101.61  30.6   -0.19 120.68
   6300  37.8   -4.98  61.25  37.6    5.37  61.03  30.2    0.41 129.49  36.5   -0.30  67.41  33.6   -0.12  81.98
   6900  39.4   -6.07  49.11  38.4    6.73  55.21  29.5    0.24 130.33  37.3    0.09  60.13  34.8   -0.04  73.03
   7500  36.2   -7.13  68.80  36.0    7.89  68.77  26.6   -0.10 165.31  34.5    0.41  77.77  33.2    0.22  87.09
   8100  33.6   -8.00  92.30  34.7    8.66  80.62  24.9   -0.41 183.27  33.7    0.59  84.56  30.3    0.23 126.38
   8700  31.5   -8.53 116.50  32.7    9.00 100.24  22.3   -0.74 212.85  31.4    0.92 110.03  24.3    0.23 190.94
   9300  27.6   -8.57 156.99  29.1    9.00 138.38  20.1   -0.87 241.50  27.2    0.92 156.94  19.3    0.24 247.87
   9900  24.1   -8.86 198.28  25.7    9.11 176.89  16.9   -0.97 262.72  22.9    0.94 207.47  17.5    0.26 262.17
  10500  20.2   -9.22 236.22  22.6    9.33 214.09  13.2   -0.97 276.42  19.0    1.14 246.03  15.8    0.29 271.00
  11100  14.8  -10.10 275.50  18.2   10.12 252.35  14.1   -0.94 291.49  13.9    0.96 275.05  14.0    0.29 277.15
  11700  14.3  -11.09 278.07  13.7   10.86 277.51  14.0   -0.64 291.86  11.4    0.68 279.98  11.4    0.22 287.79
  12300  12.7  -11.62 288.14  12.1   11.10 288.93   9.9   -0.49 294.96   9.5    0.68 290.42  11.4    0.36 291.92
  12900  12.7  -11.62 293.46   9.7   11.17 294.69   7.2   -0.13 295.46   9.5    0.88 294.60  10.4    0.40 292.80
  13500  11.7  -11.66 294.82   7.2   11.16 298.19 -99999 -9999999 -999999  10.1    0.64 295.02  10.4    0.22 293.32
  14100  12.1  -11.50 294.31   7.3   10.88 297.80 -99999 -9999999 -999999  10.1    0.91 294.83   9.3    0.27 294.66
