#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-16T22:15:26
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-16T22:00:00.000
#DataEndTime: 2024-04-16T22:15:16.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  36.7   -3.03  80.11  22.1    0.05  88.12  -2.2   -3.05 -60.08  20.3   -0.01  66.95  17.2   -0.09  16.31
   1500 -99999 -9999999 -999999  22.1    0.05  88.12  16.4   -0.10  11.73  20.3   -0.01  66.95  17.2   -0.09  16.31
   2700  37.0   -2.12  83.54  22.1    0.05  88.12  25.8    1.49  32.42  30.5   -0.98  84.11  17.2   -0.09  16.31
   3900  37.1   -3.18  77.82  37.9    1.57  88.12  31.5    2.47  53.12  35.6   -1.47  92.70 -99999 -9999999 -999999
   5100  37.0   -3.23  74.58  37.9    3.14  66.66  31.8    2.47  53.12  35.6   -2.08  92.70 -99999 -9999999 -999999
   6300  36.4   -3.39  69.14  37.9    3.14  66.66  31.8    2.47  53.12  34.5   -1.70  79.44  28.2   -0.40  77.53
   7500  34.1   -3.54  53.50  37.2    3.34  56.65  32.2    2.53  62.08  34.1   -1.09  74.10  26.5   -0.30  66.23
   8700  31.4   -3.80  36.72  34.8    3.88  40.72  33.6    2.86  73.81  32.5   -0.95  52.93  27.9   -0.40  69.52
   9900  28.3   -4.56  20.50  29.1    4.43  21.55 -99999 -9999999 -999999  32.5   -0.95  52.93  25.2   -0.51  55.50
  11100  24.4   -5.27  14.21  23.2    5.41   8.96 -99999 -9999999 -999999  20.5   -0.95  19.74  23.3   -0.37  38.72
  12300  20.5   -6.21  11.35  19.9    5.41   8.68  18.5    2.50   6.29  19.6   -2.29   6.58  23.4   -0.23  33.86
  13500  17.0   -6.21   9.35  18.9    6.36   8.11  18.4    1.97   6.01  19.1   -1.83   6.01  21.9   -0.16  22.22
  14700  16.6   -6.46   9.35  17.9    6.84   8.11  17.4    1.55   5.63  17.9   -1.48   5.91  19.8    0.05  18.22
  15900  16.6   -6.43   8.68  17.7    6.84   6.87  16.0    0.85   5.63  17.9   -1.48   5.44  18.6    0.05  15.64
  17100  17.4   -5.82   8.39  18.0    6.37   5.91  16.0    0.23   5.82  17.8   -0.70   5.53  16.6   -0.09  14.40
  18300  18.2   -4.87   7.92  16.7    4.83   5.25  16.2   -0.31   5.63  19.2   -0.70   5.53  16.3   -0.17  12.59
  19500  18.2   -3.76   7.25  16.7    2.70   5.25  15.7   -0.43   5.53  22.4   -3.35  17.36  15.8   -0.18  11.83
