#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-14T18:46:36
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-14T18:30:00.000
#DataEndTime: 2024-04-14T18:46:06.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=16, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  65.5    0.90  -8.68  72.4   -1.26 -14.82  51.6   -2.07 -14.51  57.9    1.67  -2.96  40.2   -0.22  26.33
    900  53.1   -0.15   6.53  55.8   -0.16   5.03  44.4   -0.12  16.71  49.2   -0.15   9.87  40.9   -0.12  24.84
   1500  53.0   -1.30   7.34  54.6    1.05   6.08  42.8    1.14  20.37  48.2   -1.33  11.05  44.4   -0.04  18.87
   2100  57.2   -2.19   4.83  59.0    1.92   4.11  48.4    1.77  13.00  52.7   -1.89   7.90  50.9    0.01  11.76
   2700  59.9   -2.78   3.80  59.9    2.46   3.77  53.9    1.77   8.62  55.6   -1.89   6.01  57.1    0.01   5.15
   3300  60.8   -2.88   3.52  61.1    2.54   3.44  58.5    1.51   4.17  58.3   -1.72   4.11  58.9    0.04   3.99
   3900  60.8   -2.88   3.52  62.0    2.54   3.26  60.0    1.08   3.82  59.9   -1.48   3.69  61.3    0.05   3.36
   4500  60.7   -2.93   3.49  61.5    2.58   3.28  60.0    0.88   3.74  59.8   -1.48   3.69  58.9    0.02   3.99
   5100  60.3   -2.93   3.58  60.4    2.63   3.60  60.0    0.88   3.74  58.7   -1.48   4.03  54.4   -0.02   6.71
   5700  58.4   -3.01   4.11  59.6    2.64   3.73  58.7    0.89   3.94  59.2   -1.67   3.81  48.3   -0.08  11.71
   6300  54.6   -3.28   6.22  56.7    2.83   4.78  55.4    0.89   5.93  57.7   -1.72   4.43  42.0   -0.08  22.68
   6900  50.1   -3.52   8.88  52.5    3.05   6.81  50.5    0.89   8.41  52.1   -1.72   7.87  38.1   -0.11  31.53
   7500  46.4   -3.74  12.51  49.0    3.29   9.66  46.9    0.89  10.84  46.9   -1.61  11.51  35.2   -0.10  41.32
   8100  43.4   -3.77  17.17  46.2    3.49  12.30  45.5    0.89  12.77  43.3   -1.61  16.06  33.3   -0.00  47.68
   8700  41.1   -3.81  21.86  43.6    3.67  16.40  42.1    1.14  20.05  40.7   -1.72  22.07  31.8    0.02  54.36
   9300  37.0   -3.97  35.90  41.3    3.81  21.24  38.3    1.99  29.66  38.0   -2.46  28.99  30.1   -0.01  64.27
   9900  33.0   -4.54  53.19  37.9    4.33  30.45  35.4    2.80  37.97  35.1   -3.21  39.25  28.5    0.03  73.93
  10500  28.3   -5.41  75.85  34.5    5.28  45.05  32.9    3.36  51.18  32.5   -3.79  53.17  25.5    0.03  92.55
