#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-04T06:45:18
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-04T06:30:00.000
#DataEndTime: 2024-04-04T06:45:16.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=16, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  24.3    0.65  75.47  28.1   -2.18  60.57  30.7   -1.82  55.70  28.5   -0.44  62.91  18.4    0.05 127.94
    900  34.7   -0.08  45.02  36.3   -0.05  38.35  36.1   -0.04  39.34  36.0   -0.06  39.45  28.8   -0.05  77.98
   1500  43.1   -0.86  19.56  44.1    1.52  20.60  41.7    0.91  24.32  41.8   -0.14  22.64  38.4   -0.08  38.07
   2100  46.4   -1.42  12.40  49.0    2.41  10.86  45.7    1.07  14.98  45.5   -0.17  13.43  43.1   -0.03  19.65
   2700  47.3   -2.04  11.35  51.9    2.67   7.83  47.5    1.07  11.50  46.7   -0.31  11.86  44.8   -0.06  15.76
   3300  48.1   -2.53  10.74  51.9    2.72   7.83  47.6    0.77  11.34  47.3   -0.46  11.64  45.1   -0.03  15.32
   3900  48.6   -2.87  10.53  51.1    2.72   8.47  48.2    0.59  10.81  47.8   -0.80  11.18  44.7   -0.01  15.97
   4500  49.1   -3.01  10.28  50.5    2.82   8.76  47.4    0.52  11.97  48.4   -0.92  10.76  44.3   -0.01  16.59
   5100  48.6   -3.15  10.81  50.0    2.85   9.23  45.8    0.64  13.96  48.7   -0.98  10.25  43.5   -0.01  17.25
   5700  47.5   -3.85  13.31  48.3    3.46  11.03  43.8    0.64  16.36  48.4   -0.98  10.72  41.6   -0.01  19.62
   6300  45.4   -5.00  16.00  46.0    4.56  13.71  38.9    0.45  27.98  44.6   -0.58  17.47  39.4   -0.08  22.69
   6900  42.7   -6.09  19.75  42.6    5.67  18.87  37.7    0.28  30.06  39.5   -0.54  27.50  38.5   -0.15  24.31
   7500  40.6   -6.71  23.27  39.9    6.38  24.25  37.1    0.17  31.92  34.8   -0.48  37.38  38.5   -0.19  24.31
   8100  39.5   -7.12  25.48  39.1    6.87  25.91  36.2    0.13  34.15  34.5   -0.47  38.84  37.8   -0.21  26.56
   8700  39.5   -7.54  25.32  38.7    7.23  26.85  38.1    0.22  27.66  34.5   -0.67  38.84  35.5   -0.18  34.93
   9300  37.4   -7.81  32.50  36.9    7.41  33.38  38.1    0.22  27.66  33.2   -0.67  46.36  33.2   -0.18  44.39
   9900  36.2   -7.89  37.43  36.9    7.54  33.39  36.6    0.07  32.41  33.2   -0.54  46.36  31.5   -0.26  52.03
  10500  33.6   -8.02  48.77  34.1    7.82  46.33  32.9   -0.33  50.57  31.0   -0.24  58.65  31.5   -0.30  52.03
