#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-04T01:14:42
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-04T01:00:00.000
#DataEndTime: 2024-04-04T01:14:36.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  28.7    2.74  74.46  40.6   -2.48  23.44  38.2   -1.31  30.67  37.6    1.26  36.20  30.6   -0.29  62.02
    900  32.4   -0.09  57.04  36.8   -0.08  36.29  35.5   -0.07  41.48  35.7   -0.07  40.41  33.3   -0.16  52.00
   1500  40.7   -2.14  27.86  40.1    1.76  29.48  37.7    0.43  36.41  38.3   -0.89  33.11  38.2   -0.07  36.29
   2100  44.8   -3.21  20.00  44.8    2.85  19.14  43.2    0.61  22.18  42.8   -1.14  22.23  43.3   -0.02  22.61
   2700  48.8   -3.25  10.50  48.7    3.01  10.60  47.5    0.67  11.94  46.4   -1.30  12.82  47.6   -0.01  12.07
   3300  49.2   -3.34  10.12  48.9    3.01  10.34  49.4    0.58   9.68  47.3   -1.18  11.85  47.6   -0.01  12.07
   3900  49.2   -3.38  10.14  48.9    2.89  10.34  49.9    0.45   9.31  47.7   -1.07  11.62  47.5   -0.11  12.45
   4500  48.5   -3.42  10.88  48.4    2.90  10.53  49.1    0.34   9.99  47.8   -1.04  11.06  46.0   -0.25  15.12
   5100  48.0   -3.63  10.95  48.1    2.96  10.72  47.5    0.24  11.41  47.6   -1.01  10.81  42.1   -0.29  23.31
   5700  47.2   -4.25  11.25  47.6    3.49  10.79  45.9    0.21  13.02  47.5   -0.92  10.81  39.2   -0.33  28.11
   6300  47.2   -5.21  11.25  46.6    4.39  11.70  42.6    0.20  17.43  44.8   -0.83  15.71  37.2   -0.43  30.24
   6900  46.3   -6.01  11.88  45.3    5.11  13.42  40.7    0.18  20.92  42.9   -0.81  17.93  37.2   -0.44  39.34
   7500  45.5   -6.46  13.12  43.7    5.68  15.72  38.9    0.17  24.95  39.7   -0.80  24.62  37.2   -0.48  40.91
   8100  41.1   -6.66  23.87  40.1    5.86  25.39  37.3    0.17  30.08  36.8   -0.78  39.30  33.2   -0.54  76.35
   8700  35.1   -6.99  47.05  35.5    6.09  43.87  34.2    0.16  43.86  31.3   -0.74  78.32  30.1   -0.57 118.12
   9300  29.3   -7.25  71.60  30.4    6.60  64.13  28.9   -0.00  71.35  26.5   -0.67 116.23  28.5   -0.52 118.12
   9900  27.6   -7.49  79.61  28.7    7.13  73.49  25.8    0.01  87.91  24.4   -0.60 144.24  25.9   -0.52 145.22
  10500  27.6   -8.02  79.61  28.7    7.84  73.49  25.5   -0.15  89.21  24.4   -0.47 144.24  27.0   -0.43 133.72
  11100  29.1   -8.75  69.91  29.4    8.30  68.99  25.5   -0.43  89.21  25.9   -0.19 133.00  27.0   -0.46 135.29
  11700  30.1   -9.92  63.79  30.1    9.22  64.52  29.2   -0.39  67.30  26.3   -0.19 137.47  23.9   -0.47 131.91
  12300  30.1   -9.92  63.79  30.1   10.12  64.52  29.2   -0.24  67.30  26.3   -0.40 139.65  20.2   -0.58 136.16
  12900  27.7  -10.84  75.38  26.7   11.04  82.98  26.8   -0.02  80.10  25.2   -0.92 129.29  20.5   -0.64 130.54
  13500  27.9  -10.94  74.44  24.1   11.04  98.16  28.8    0.49  70.13  25.2   -1.44 129.29  20.5   -0.64 120.81
  14100  27.4  -11.13  79.77  22.7   10.55 107.28  27.4    0.86  77.18  25.7   -1.57 116.25  19.7   -0.71 120.81
  14700  24.6   -9.87  94.77  20.1    9.65 120.82  22.3    0.90 105.76  23.4   -1.89 112.67  23.4   -0.62 105.85
  15300  22.9   -9.92 106.82  19.8    8.52 123.33  21.9    0.90 107.31  28.3   -1.57  85.48  31.6    7.28  71.76
  15900  22.3   -8.67 112.67  19.4    8.09 124.52  22.3    0.70 106.51  33.6    1.62  54.90  30.5    7.38  72.25
  16500  22.3   -8.08 112.67  19.8    7.65 123.43  19.9    0.49 122.71  35.9    1.27  63.05  28.7    7.54  71.64
  17100  21.9   -7.23 109.97  18.9    6.72 123.43  19.9   -0.05 122.71  34.8   -3.03  77.66  31.8    7.54  61.95
  17700  22.6   -6.15 107.57  20.6    5.20 114.72  19.9   -0.33 122.71  36.0    0.99  77.66  26.7   -0.26  82.38
  18300  22.7   -4.11 107.57  20.6    3.64 114.72  21.7   -0.70 118.44  32.2   -6.20  88.42  23.7   -0.29  92.20
  18900  22.0   -2.70 108.36  20.7    2.47 114.35  20.4   -0.81 122.67  32.2  -14.24  88.42  23.3   -0.24  95.91
  19500  18.7   -1.85 131.15  18.0    2.18 125.19  17.5   -0.78 133.11  27.7  -15.10  98.29  22.7   -0.24 104.06
  20100  18.3   -1.58 134.92  16.2    2.00 138.30  14.8   -0.42 139.54  24.0   -9.74 106.98  19.3   -0.11 119.52
  20700  16.5   -1.58 139.87  15.6    2.00 140.06  14.6   -0.57 140.03  19.8   -9.74 114.29  15.9   -0.11 136.56
  21300  14.2   -1.37 143.96  15.5    1.46 141.28  13.6   -0.50 142.86  14.6   -5.80 140.34  13.9   -0.17 145.93
  21900  12.3   -0.75 145.83  15.5    1.58 143.41  12.7   -0.55 144.48  12.2   -0.21 144.29  11.7   -0.22 148.43
  22500  12.0   -0.10 146.03  13.7    0.61 146.57  11.6   -0.91 144.38  13.4    0.10 144.39   9.6   -0.45 149.81
  23100  11.4    0.72 146.39  10.7   -0.33 148.47  10.2   -0.91 145.72  11.2    0.15 147.36  11.0   -0.54 145.90
  23700  10.5    0.96 146.74   8.4   -1.02 148.55   9.7   -0.82 146.12   8.0    0.15 147.52   9.5   -0.58 145.88
  24300  10.6    1.21 148.14   7.0   -1.08 148.64   9.7   -0.53 146.75   7.4    0.13 147.48   9.5   -0.52 147.12
  24900   9.9    1.75 147.49   7.0   -1.08 148.64   9.5   -0.35 147.06   6.9    0.15 147.52  10.0   -0.57 147.06
  25500   8.5    2.36 149.43   7.2   -1.40 147.74   9.5    0.05 147.74   8.2    0.08 147.48  12.2   -0.52 147.16
  26100   8.6    8.59 150.32   7.5   -1.36 147.79 -99999 -9999999 -999999   9.6    0.00 147.52 -99999 -9999999 -999999
  26700   7.8   14.74 151.21   6.3   -1.12 147.80 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27300   7.4   14.51 151.21 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27900   7.4   20.30 151.92 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  28500   7.6   20.43 150.96 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29100   7.3   20.43 151.94 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29700   7.5   20.34 151.59 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  30300   8.0   20.34 151.59 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  30900   8.2   20.29 151.47 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  31500   7.6   20.28 152.65 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  32100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  32700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  33300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  33900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  34500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  35700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  36900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  37500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  38700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  39900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  40500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  41700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  42900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  43500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  15.0  -13.52 149.18 -99999 -9999999 -999999
  44100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  14.8  -20.56 134.14 -99999 -9999999 -999999
  44700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  12.0  -18.40 139.15 -99999 -9999999 -999999
  45300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  12.0  -23.29 128.59 -99999 -9999999 -999999
  45900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   9.0  -19.91 139.15 -99999 -9999999 -999999
  46500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  11.8  -24.41 129.88 -99999 -9999999 -999999
  47100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999   8.8  -19.91 140.06 -99999 -9999999 -999999
  47700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  11.7  -19.91 140.61 -99999 -9999999 -999999
  48300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  10.1  -16.06 150.24 -99999 -9999999 -999999
  48900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  14.4  -14.09 149.63 -99999 -9999999 -999999
  49500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  50100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  50700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  51300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  51900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  52500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  53100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  53700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  54300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  54900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  55500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  56100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  56700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  57300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  57900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  58500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  59100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  59700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
