#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-12T21:45:23
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-12T21:30:00.000
#DataEndTime: 2024-04-12T21:45:16.000
#RecordNumber: 120
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2083.33Hz, PlsAccum=22, Range=72km, GateNum=120, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  66.1    1.53   1.20  58.7   -2.46  -0.61  53.3   -2.04   6.42  56.4    1.08   2.85  50.7    0.04   5.33
    900  59.6   -0.15   3.66  51.2   -0.14   8.00  48.7   -0.14  10.44  51.1   -0.13   8.09  46.0   -0.12  14.06
   1500  59.3   -1.50   4.31  52.0    1.47   9.38  48.8    1.08  10.64  51.8   -0.89   8.52  48.3   -0.25  12.63
   2100  64.1   -2.43   3.26  59.0    2.39   4.83  54.0    1.43   7.09  57.7   -1.20   5.16  55.2   -0.28   7.35
   2700  65.5   -2.85   3.14  62.9    2.53   3.22  58.3    1.61   4.84  62.1   -1.30   3.53  60.4   -0.31   3.75
   3300  65.5   -3.07   3.14  62.9    2.64   3.22  58.5    1.33   4.82  62.1   -1.21   3.53  63.4   -0.33   2.98
   3900  63.4   -3.21   3.38  62.2    2.70   3.32  60.5    0.90   3.82  61.8   -1.07   3.56  64.3   -0.39   2.83
   4500  60.2   -3.37   3.70  60.0    2.80   3.58  58.1    0.48   4.28  59.6   -0.98   3.91  63.4   -0.46   2.97
   5100  57.9   -3.65   3.95  57.2    2.82   4.47  57.9    0.48   4.24  56.9   -1.01   4.41  59.4   -0.58   4.09
   5700  57.3   -3.74   4.03  56.3    2.82   4.70  56.3    0.44   4.46  55.5   -0.92   4.77  55.5   -0.58   5.58
   6300  56.8   -3.93   4.38  53.9    2.93   5.67  56.3    0.58   4.45  54.0   -1.00   5.16  48.9   -0.45   9.18
   6900  55.1   -4.12   5.12  53.0    3.13   5.94  54.9    0.84   4.80  53.2   -1.10   5.56  48.9   -0.23   9.18
   7500  52.2   -4.50   6.81  51.7    3.59   6.57  53.5    1.04   5.65  52.2   -1.41   6.15  50.0    0.07   8.64
   8100  48.8   -4.89   9.15  52.6    4.44   6.12  53.0    1.37   5.85  50.7   -1.64   7.18  48.1    0.16  10.78
   8700  46.0   -5.49  12.92  51.7    5.34   6.57  50.5    1.94   7.70  49.1   -2.26   8.62  48.1    0.17  10.78
   9300  43.8   -5.77  16.32  49.5    5.99   9.13  46.9    2.04  11.38  46.0   -2.28  12.84  43.5    0.17  26.13
   9900  38.4   -6.22  33.27  44.1    6.59  19.76  40.7    2.30  27.37  41.5   -2.68  22.83  36.3    0.19  39.36
  10500  34.3   -6.80  49.06  37.9    7.31  32.94  35.1    2.50  45.25  36.6   -3.09  35.64  32.7    0.21  50.16
  11100  29.6   -7.52  68.77  34.4    7.98  43.40  30.4    2.43  62.72  33.5   -2.77  46.35  31.3    0.23  58.04
  11700  28.5   -8.44  75.01  32.9    8.93  50.93  28.9    2.28  71.77  31.8   -2.39  53.79  30.5    0.22  62.28
  12300  27.4   -9.09  82.86  30.4    9.36  66.27  27.7    2.40  79.82  30.2   -2.56  62.83  29.2    0.23  71.42
  12900  23.1   -9.49 103.07  24.6    9.73  97.12  24.3    2.46  99.91  25.4   -2.51  90.77  24.3    0.21  99.19
  13500  19.4   -9.49 122.79  19.7    9.73 123.06  21.7    2.46 115.35  20.7   -2.51 116.57  22.5    0.20 110.73
  14100  16.7   -9.16 136.74  16.5    9.45 138.03  19.3    2.67 128.83  17.3   -2.76 135.30  22.5    0.18 110.73
  14700  16.3   -8.76 137.91  16.2    9.24 139.00  19.1    2.96 129.80  17.3   -2.98 135.30  21.4    0.16 116.93
  15300  16.2   -8.20 138.06  16.4    8.52 138.27  18.2    3.17 132.55  17.3   -3.16 135.30  21.6    0.10 116.27
  15900  16.4   -7.59 137.54  16.6    7.82 137.65  16.4    3.17 137.17  17.2   -3.28 135.30  21.6   -0.13 116.27
  16500  15.8   -6.93 138.72  16.6    7.06 137.65  14.8    3.02 139.59  17.0   -3.28 135.44  19.1   -0.39 127.56
  17100  14.5   -6.05 141.71  15.8    6.35 139.48  14.4    2.36 140.34  16.8   -3.07 135.97  17.9   -0.62 132.45
  17700  14.5   -5.32 141.71  15.5    5.54 139.88  13.2    1.62 142.93  16.3   -2.71 136.94  17.9   -0.62 132.45
  18300  15.3   -4.49 140.33  15.6    4.54 139.41  14.2    1.26 140.12  17.1   -2.12 134.88  16.4   -0.66 136.74
  18900  16.1   -3.98 136.99  15.8    3.96 137.50  15.2    1.04 137.88  16.6   -1.81 135.83  17.1   -0.69 135.29
