#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-12T13:15:17
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-12T13:00:00.000
#DataEndTime: 2024-04-12T13:15:16.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300 -99999 -9999999 -999999  36.8    0.60  67.23  17.3   -0.11  15.45  18.4   -0.03  24.03  19.1   -0.05  36.62
   1500 -99999 -9999999 -999999 -99999 -9999999 -999999  17.3   -0.11  15.45  18.4   -0.03  24.03  19.1   -0.05  36.62
   2700 -99999 -9999999 -999999  36.8    0.60  75.53  29.1    0.20  55.22  28.0   -0.32  58.08  19.1   -0.05  36.62
   3900 -99999 -9999999 -999999 -99999 -9999999 -999999  35.5    0.41  78.68  32.8   -0.46  75.10 -99999 -9999999 -999999
   5100 -99999 -9999999 -999999  37.7    1.33  92.98  36.0    0.41  80.49  33.1   -0.81  83.83 -99999 -9999999 -999999
   6300 -99999 -9999999 -999999  37.9    4.76  98.99  35.8    0.38  80.30  33.8   -0.85  80.49 -99999 -9999999 -999999
   7500 -99999 -9999999 -999999  37.8    4.85  95.99  35.8    0.43  80.30  33.8   -0.86  76.68 -99999 -9999999 -999999
   8700  32.8   -5.65  50.35  37.8    4.85  95.99  36.2    0.49  81.44  34.0   -0.84  76.82  28.0   -0.19  90.98
   9900  32.1   -5.98  37.05  37.8    4.85  95.99  36.1    0.48  79.25  33.5   -0.90  68.95  27.8   -0.09  87.40
  11100  29.8   -6.68  32.52  37.9    4.94  98.99  35.4    1.43  52.93  32.3   -1.73  46.83  27.8   -0.09  87.40
  12300  24.1   -6.68  19.26  34.1    8.74  45.78  25.9    2.40  15.16  27.7   -2.09  29.47  26.3   -0.02  68.76
  13500  18.6   -7.14  14.69  16.0    8.74   9.73  16.5    2.40   8.58  22.1   -2.75  14.50  24.8   -0.13  51.21
  14700  15.1   -7.17  10.11  14.2    7.96   9.01  15.2   -7.09   7.92  17.9   -2.75   8.30  22.9   -0.12  25.94
  15900  14.9   -6.10   9.16  13.8    7.19   8.49  13.1   -7.68   6.68  15.6   -2.27   6.58  20.4   -0.13  18.60
  17100  14.9   -4.85   8.11  13.8    5.79   7.06  13.4   -8.30   5.63  15.6   -1.62   5.72  18.6   -0.13  10.97
  18300  15.8   -4.85   7.15  13.6    4.39   5.91  12.0   -8.36   5.15  15.4   -1.27   5.44  17.5   -0.14  15.16
  19500  15.8   -3.21   6.39  13.6    2.95   4.77  12.2    0.30   5.15  15.4   -0.97   5.15  16.2   -0.12  10.97
  20700  14.3   -1.67   5.44  13.2    1.56   4.29  12.5    0.31   5.44  14.3   -0.88   4.67  14.7    0.04  10.01
  21900  12.6   -0.47   4.29  12.6    0.31   4.20  12.5    0.31   5.44  12.9   -0.91   4.48  12.5    0.09   8.58
  23100   8.9    0.15   3.34   9.7   -0.40   3.62  11.3    0.12   5.72  12.9   -0.67   4.48   9.4    0.04   4.86
  24300   7.0    0.76   2.67   7.5   -1.15   2.86   8.9   -2.56   5.53  11.8   -0.57   4.01   9.4    0.06   4.86
  25500   7.0    1.20   2.67   5.5   -1.70   2.29   8.9   -2.18   5.63   9.9   -0.01   3.72   9.6    0.10   4.72
  26700   5.5    1.60   2.29   5.5   -1.69   2.29   7.6   -3.24   4.58  10.4    0.32   3.72   8.4    0.14   4.29
  27900   4.8    1.61   2.00   4.8   -2.15   1.86   5.4   -1.48   3.58 -99999 -9999999 -999999 -99999 -9999999 -999999
  29100 -99999 -9999999 -999999   4.9   -1.86   2.00   6.4    4.77   2.43 -99999 -9999999 -999999 -99999 -9999999 -999999
  30300 -99999 -9999999 -999999 -99999 -9999999 -999999   6.4    4.95   2.43 -99999 -9999999 -999999 -99999 -9999999 -999999
  31500 -99999 -9999999 -999999 -99999 -9999999 -999999   6.3    4.95   2.38 -99999 -9999999 -999999 -99999 -9999999 -999999
  32700 -99999 -9999999 -999999 -99999 -9999999 -999999   6.0    4.87   2.19 -99999 -9999999 -999999 -99999 -9999999 -999999
  33900 -99999 -9999999 -999999 -99999 -9999999 -999999   6.7    4.95   2.48 -99999 -9999999 -999999 -99999 -9999999 -999999
  35100 -99999 -9999999 -999999 -99999 -9999999 -999999   6.8    5.03   2.48 -99999 -9999999 -999999 -99999 -9999999 -999999
