#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-03-31T16:23:24
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-03-31T16:20:00.000
#DataEndTime: 2024-03-31T16:23:22.000
#RecordNumber: 50
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=5000.00Hz, PlsAccum=16, Range=30km, GateNum=50, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300 -21.8    2.81 558.68  -1.2    4.30 429.61 -14.5   -2.20 536.93 -15.0   -2.40 523.72 -13.8    0.37 523.40
    900  11.3   -0.22 292.24  24.5    4.30 223.87  15.0    0.09 284.00  17.0   -3.03 271.84  18.6   -0.08 270.22
   1500  34.2   -2.33 113.07  41.1    3.62  87.31  37.4    0.81 109.77  37.5   -2.20 105.49  40.9   -0.24  93.32
   2100  45.8   -3.69  24.02  49.0    4.02  19.76  48.5    1.01  22.12  47.5   -2.20  23.13  48.8   -0.15  21.36
   2700  45.8   -3.78  24.02  49.0    3.68  19.76  48.5    1.57  21.47  47.5   -1.69  23.13  48.8   -0.15  21.36
   3300  44.9   -3.93  29.57  46.5    3.68  26.86  51.3    1.61  16.24  45.4   -1.32  30.04  44.4   -0.03  39.22
   3900  42.6   -4.45  40.80  44.7    3.94  33.77  48.2    1.45  21.20  43.4   -1.02  37.31  41.4   -0.03  50.36
   4500  40.2   -4.52  54.52  41.5    4.29  48.71  43.1    1.10  41.11  39.1   -0.59  65.44  38.6   -0.10  65.71
   5100  38.5   -4.86  64.87  38.5    4.76  66.72  35.9    0.85  90.81  34.6   -0.32  98.86  33.8   -0.12 107.31
   5700  34.8   -5.48  96.19  34.0    5.15 101.27  29.8   -0.07 145.61  29.7    0.21 143.62  29.0   -0.10 153.93
   6300  31.0   -5.72 132.40  30.7    5.29 130.49  24.4   -0.07 200.11  25.9    0.21 182.95  24.0   -0.05 203.90
   6900  27.9   -6.07 166.23  28.4    5.72 157.43  22.4    0.11 223.69  22.8    0.19 219.87  20.7    0.02 236.89
   7500  23.3   -6.33 210.26  25.0    6.19 197.06  20.4    0.25 245.33  19.5   -0.06 251.58  17.8    0.08 260.26
   8100  19.1   -6.61 246.70  21.6    6.65 234.63  19.3    0.73 254.41  16.8   -0.59 269.74  13.6    0.09 282.79
   8700  14.6   -7.08 283.97  17.2    6.90 271.49  16.2    1.29 271.76  15.0   -1.05 279.39  11.2    0.09 288.83
   9300  13.5   -7.08 286.99  15.6    6.90 278.97  13.8    1.76 282.08  13.8   -1.27 283.41   9.1    0.03 293.20
   9900  12.4   -6.93 289.27  13.7    6.55 286.38  11.1    1.76 290.35  12.0   -1.27 287.55  11.0    0.04 293.96
  10500  12.4   -6.43 292.34  13.7    6.79 288.72  11.1    2.06 292.16  12.7   -1.13 289.47   9.1   -0.01 294.55
  11100  12.4   -5.49 292.33  12.5    5.82 291.92  10.8    2.12 293.53  11.8   -1.05 293.39   7.2   -0.03 295.46
  11700  10.9   -5.26 293.80  11.0    5.06 293.62   8.8    1.59 294.15   9.7   -0.30 293.39   7.8    0.08 295.46
  12300  11.8   -5.26 293.80  11.9    5.39 296.24  11.1    1.14 294.15  11.0   -0.30 292.66   9.6    0.08 294.05
  12900  11.6   -5.89 294.01  11.1    6.99 296.24  12.5    1.66 292.69  11.0   -0.39 291.70   9.6    0.08 294.05
  13500  11.6   -5.89 294.01   9.2    6.99 295.44  12.5    1.66 292.69  11.0   -0.39 291.70   8.6    0.05 294.35
  14100  11.6   -7.38 294.49   9.1    8.42 296.11  12.5    1.66 292.69  11.0   -0.39 291.70   8.6    0.02 294.38
  14700  12.9   -8.35 294.56   9.5    8.89 297.89  14.3    2.25 291.21  10.8    0.20 293.50  15.0    0.74 294.38
  15300   8.6   -8.23 296.81   9.2    8.89 297.67  10.6    2.25 294.89   8.4    1.68 295.02  17.8    1.15 295.28
  15900   7.9   -5.82 296.81   9.2    8.98 298.31   7.7   -1.03 294.89   8.1    1.68 295.02  15.7    9.29 295.48
  16500   7.9   -5.82 296.81  10.2    8.57 298.81   7.7   -1.03 294.89   8.1    1.68 295.02  20.1   13.94 295.73
  17100   9.8   -4.63 296.19  10.6    7.99 299.14   7.7   -1.03 294.89   8.1    1.68 295.02  28.9   25.56 295.87
  17700   9.8   -4.63 296.19 -99999 -9999999 -999999   7.7   -1.03 294.89   8.1    1.60 295.24 -99999 -9999999 -999999
  18300   9.8   -2.89 295.57 -99999 -9999999 -999999   7.7    0.05 298.67   9.3    1.29 295.64 -99999 -9999999 -999999
  18900   5.9   -2.73 295.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  19500   5.9   -2.73 295.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  20100   5.9   -2.73 295.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  20700   5.9   -2.73 295.61 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  21300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  21900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  22500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  23100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  23700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  24300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  24900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  25500 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  26100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  26700 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  27300 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  33.1   -0.05 290.51
  27900 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999  33.1   -0.05 290.51
  28500  24.1   -0.11 287.11  10.5   -0.04 295.47  26.6   -0.12 266.62  21.2   -0.12 290.37  34.6   -0.09 186.99
  29100 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999 -99999 -9999999 -999999
  29700  24.1   -0.11 190.71  10.5   -0.13 290.32  26.6   -0.12 157.60  21.2   -0.13 227.57  36.1   -0.12  63.34
