#DataName: Atmospheric Wind and Refractive Index Structure Constant
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-18T21:45:21
#DataLevel: L2
#DataVersion: V01.00
#DataStartTime: 2024-04-18T21:30:00.000
#DataEndTime: 2024-04-18T21:45:16.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=4, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=8
#Height(km): The Height Level of the Wind Data, F7.2, missingdata=NaN
#Horiz WS(m/s): Horizontal Wind Speed in m/s, F8.2, missingdata=-99999999
#Horiz_WD(m/s): Horizontal Direction in Degree, Clockwise from Due North, F8.2, missingdata=-99999999
#Verti_V(m/s): Vertical Velocity in m/s, F7.2, missingdata=-9999999
#Cn2(dB): Atmospheric Refractive index Structure Constant in dB, F7.2, missingdata=-9999999
#Credi: Credibility of Data, I5.3, missingdata=-99999
#-------------------------------------------------------------------
 Height Horiz_WS Horiz_WD Verti_V     Cn2 Credi
   0.30    12.25    21.74   -0.01 -179.54    94
   1.50     0.10   192.23   -0.06 -163.15   100
   2.70     5.79   195.41   -0.20 -153.73    94
   3.90    10.67   214.80    0.33 -148.44    84
   5.10    14.90   231.81    0.25 -147.83    89
   6.30    15.58   240.81    0.22 -148.71    85
   7.50    14.01   242.42    0.16 -150.38   100
   8.70    12.72   247.77    0.25 -153.23    80
   9.90    16.44   257.28    0.48 -157.38    89
  11.10    27.99   252.25    0.67 -157.94    80
  12.30    30.54   248.96    0.78 -157.94   100
  13.50    31.00   248.63    0.59 -157.94   100
  14.70    29.53   250.31    0.11 -157.94   100
  15.90    27.14   249.46    0.03 -158.12   100
  17.10    21.33   247.49   -0.23 -160.03   100
  18.30    14.52   246.59   -0.43 -162.24   100
  19.50     9.04   243.87   -0.59 -164.20   100
  20.70     5.73   248.95   -0.26 -166.76   100
  21.90     3.85   289.46    0.00 -168.39    94
  23.10     4.28    39.68    0.92 -171.12    94
  24.30    13.74    66.82   -0.19 -173.22    69
  25.50    19.56    66.73   -0.37 -174.05    51
  26.70    21.41    40.79    1.31 -174.05    39
  27.90    33.39     8.34    3.31 -172.46    27
  29.10    28.34   269.84    9.99 -170.14    84
  30.30    26.19   264.84   12.96 -170.14    74
  31.50    24.15   263.22   13.24 -169.93    65
  32.70    20.38   312.57   13.57 -171.18    77
  33.90    11.60   331.64   15.73 -172.09    73
  35.10    16.19     8.83   17.42 -172.09    91
  36.30    21.37     3.58   16.40 -170.59    65
  37.50    23.80   359.11   15.82 -170.72   100
  38.70    15.67    26.68   16.09 -170.53    97
  39.90     6.21    72.20   15.16 -170.29   100
  41.10    15.42   106.75   11.49 -170.69    80
  42.30    32.36    97.89    9.51 -171.28    72
  43.50    24.55    98.42    8.17 -171.28    51
  44.70    25.11    75.22    7.43 -171.72    69
