#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-03T04:14:51
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-03T04:00:00.000
#DataEndTime: 2024-04-03T04:14:38.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  26.3    3.87  74.20  30.9   -3.32  54.58  25.5   -0.32  71.10  28.9    0.87  62.93  21.2    0.45  90.67
    900  34.1   -0.17  47.05  36.6   -0.09  37.31  34.9   -0.03  43.93  35.5   -0.08  41.39  33.1   -0.09  52.81
   1500  41.5   -2.83  23.24  42.9    2.12  22.03  42.5    0.18  23.81  41.1   -0.59  24.75  41.4   -0.53  27.02
   2100  44.8   -4.17  15.25  47.0    3.29  13.26  47.4    0.31  12.35  44.7   -0.70  15.00  45.9   -0.69  13.60
   2700  46.3   -4.20  12.71  48.9    3.40  10.36  49.0    0.31  10.07  46.2   -0.75  12.33  46.5   -0.69  12.68
   3300  46.9   -4.22  12.07  48.9    3.45  10.36  49.0    0.25  10.07  46.8   -0.75  11.72  46.5   -0.66  12.68
   3900  46.9   -4.23  12.07  48.0    3.46  11.34  49.4    0.26   9.61  47.7   -0.62  10.70  47.0   -0.64  11.96
   4500  47.7   -4.34  10.88  46.7    3.48  12.52  48.8    0.20   9.90  47.9   -0.70  10.17  46.5   -0.56  12.79
   5100  47.4   -4.47  11.51  45.4    3.67  14.31  47.9    0.21  10.53  48.7   -0.84   9.44  45.1   -0.31  14.88
   5700  46.1   -4.61  13.39  42.6    4.15  19.41  47.1    0.42  10.79  47.9   -0.97  10.17  42.7   -0.07  19.11
   6300  45.2   -4.97  17.19  41.1    4.70  21.49  46.6    0.74  11.14  47.1   -1.10  10.80  40.3    0.07  28.37
   6900  45.4   -5.22  19.06  41.3    4.92  20.63  46.1    1.20  11.97  45.2   -1.35  12.85  37.1    0.07  38.84
   7500  43.9   -5.39  25.33  40.3    5.06  23.15  45.6    1.20  12.83  44.0   -1.55  14.60  37.1    0.13  51.01
   8100  40.7   -5.69  40.43  40.3    9.76  23.15  44.4    1.00  14.48  42.0   -1.55  18.60  37.7   -0.00  44.72
   8700  37.9   -6.25  65.91  43.0   18.00  26.16  40.9    0.88  22.35  40.2   -1.49  23.33  36.6   -0.29  82.13
   9300  35.6   -6.95  86.66  44.3   24.43  29.07  37.2    0.39  31.91  37.0   -1.26  37.79  36.6   -0.32 103.33
   9900  34.4   -7.40 110.28  41.8   29.82  36.46  34.0   -0.05  42.19  34.7   -0.63  55.84  38.2   -0.38 124.82
  10500  31.5   -7.66 132.95  37.1   29.82 132.25  32.4   -1.07  49.10  32.2    0.53  72.86  34.1    0.13 120.59
  11100  28.5   -8.27 140.66  29.0    9.15 132.25  32.0   -2.07  51.05  31.6    1.69  81.73  27.3    0.23 140.23
  11700  25.2   -8.87 160.34  27.3    9.14 117.83  32.0   -2.18  51.43  31.6    1.80  81.73  23.0    0.23 142.54
  12300  24.8   -9.00 160.90  25.9    8.88 115.08  29.9   -2.18  61.96  30.2    1.80  90.15  20.7    0.20 154.74
  12900  23.5   -9.52 162.93  23.8    8.60 114.91  27.6   -1.35  77.33  28.2    1.13 106.15  19.2   -0.15 151.23
  13500  24.8  -14.79 159.07  22.8    8.42 113.39  25.7   -0.28  90.26  25.3    0.17 123.08  20.5   -0.19 151.23
  14100  24.3  -14.38 149.45  20.4    8.42 122.83  20.8    0.57 115.75  20.4   -0.35 124.55  21.5   -0.13 140.73
  14700  25.8  -11.48 134.85  18.1    8.82 132.01  18.4    0.57 127.23  18.4   -0.54 141.95  21.5   -0.08 129.76
