#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-03-28T09:01:45
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-03-26T21:30:00.000
#DataEndTime: 2024-03-26T21:44:36.000
#RecordNumber: 100
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=2500.00Hz, PlsAccum=26, Range=60km, GateNum=100, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  33.7    0.04  47.10  32.5   -1.26  58.95  41.0   -1.75  10.11  31.2    1.30  63.29  27.6   -0.22  74.15
    900  32.0   -0.09  59.19  31.7   -0.11  60.80  35.3   -0.09  42.91  32.0   -0.22  59.57  31.6   -0.08  60.99
   1500  31.5   -0.43  63.90  33.6    0.83  51.30  37.7    1.15  33.92  34.5   -1.37  47.49  39.7    0.01  30.42
   2100  36.8   -0.71  44.63  38.2    1.38  36.82  41.5    1.88  26.77  38.7   -2.03  35.57  42.6    0.06  26.16
   2700  41.9   -0.98  28.90  43.0    1.42  20.92  44.7    1.88  17.25  43.4   -2.06  21.16  46.4    0.06  14.47
   3300  43.3   -1.11  19.42  44.9    1.55  15.00  47.2    2.01  12.21  45.2   -2.16  15.73  48.2    0.03  11.49
   3900  46.5   -1.44  12.79  45.9    1.60  13.48  48.3    2.07  11.05  47.0   -2.17  12.63  48.2   -0.03  11.49
   4500  45.5   -2.41  13.86  45.7    2.26  13.48  47.1    2.10  11.89  45.6   -2.19  13.97  47.2   -0.17  12.48
   5100  45.8   -3.51  13.37  45.3    2.95  13.97  46.7    1.90  11.89  45.6   -2.48  13.62  44.0   -0.31  16.86
   5700  45.5   -4.32  13.15  45.0    3.37  14.13  46.7    2.12  11.89  45.1   -2.80  13.76  41.1   -0.48  21.00
   6300  45.5   -4.32  12.73  45.3    3.37  13.60  45.6    2.22  12.89  45.5   -3.10  13.14  39.5   -0.48  22.77
   6900  46.4   -3.69  11.47  45.8    2.87  12.60  45.6    2.78  12.76  45.5   -3.63  13.14  39.0   -0.32  23.81
   7500  46.4   -2.76  11.47  45.4    2.70  13.13  44.8    3.58  13.80  45.5   -4.41  13.14  37.6   -0.09  28.59
   8100  44.2   -2.76  13.64  42.7    2.70  19.68  42.6    4.44  17.42  41.7   -5.06  21.95  35.2    0.06  38.67
   8700  39.4   -2.76  27.66  39.3    3.19  27.87  40.8    4.58  21.52  37.8   -5.10  31.62  32.3    0.06  54.15
   9300  33.7   -3.63  51.54  35.2    3.99  37.87  36.5    4.62  36.87  34.4   -5.28  42.33  27.1   -0.00  78.46
   9900  28.2   -5.17  77.55  33.5    4.99  45.11  32.7    4.69  52.61  33.0   -5.30  49.96  24.6   -0.08  93.71
  10500  25.3   -5.95  94.10  32.2    5.33  53.31  28.7    4.69  71.99  29.3   -5.30  71.26  22.4   -0.08 106.82
