#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-08T19:45:36
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-08T19:30:00.000
#DataEndTime: 2024-04-08T19:45:17.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=800kW, WellRAntennaNum=1261, WellTAntennaNum=997
#DeviceSpec: Freq=50.00MHz, PkPower=1994kW, RAntennaNum=1261, TAntennaNum=997, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=8.00us, PlsCode=8-bit Complementary, PRF=781.25Hz, PlsAccum=8, Range=192km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=512, SpAverage=8
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300   5.6    3.46 101.85   4.9   -2.54  98.99  -1.5    0.52  22.60   2.2   -0.96  50.35   3.9   -0.09 -24.60
   1500  19.5    0.24  80.11  20.5    0.23  80.68  16.3    0.12  42.34  17.8    0.19  66.38  16.9    0.10  19.45
   2700  28.9   -2.03  68.19  31.0    2.14  67.71  27.9   -0.30  55.79  28.6    1.00  77.44  25.7    0.23  44.73
   3900  33.8   -3.23  70.95  36.5    3.14  67.90  33.5   -0.57  60.65  34.3    1.44  82.49  30.0    0.26  59.41
   5100  34.1   -3.34  66.18  36.5    3.23  62.18  33.5   -0.73  64.09  34.7    1.49  83.92  30.4    0.28  61.99
   6300  34.1   -3.48  66.18  36.3    3.30  61.70  33.2   -0.78  62.37  34.7    1.49  83.64  30.4    0.25  60.27
   7500  34.0   -3.74  53.41  35.6    3.43  55.98  33.1   -0.88  51.02  33.3    1.38  67.14  28.3    0.13  60.27
   8700  32.7   -4.08  40.25  33.2    3.69  48.26  31.6   -0.89  41.10  30.8    0.99  47.68  26.0    0.06  54.17
   9900  29.2   -4.91  24.89  30.0    4.42  33.28  29.4   -0.89  28.61  27.8    0.32  26.42  24.4    0.02  44.63
  11100  25.5   -6.14  18.98  26.9    5.67  24.13  26.7   -0.49  23.65  25.8   -0.39  18.88  23.8   -0.07  36.33
  12300  22.7   -7.31  12.40  24.8    6.75  15.16  24.5   -0.15  15.83  24.4   -0.70  14.50  23.1   -0.08  34.33
  13500  19.9   -7.55  10.30  21.4    7.26  12.30  20.6    0.04  12.02  22.6   -0.80  11.44  21.9    0.01  25.94
  14700  17.7   -7.55   9.44  18.0    7.26   9.35  19.7    0.27   7.63  20.9   -0.93   8.96  19.8   -0.08  18.50
  15900  16.4   -7.12   8.77  16.7    6.76   7.72  18.1    0.41   6.29  19.7   -1.03   6.77  17.6   -0.15  11.73
  17100  16.0   -6.18   7.53  16.0    5.83   6.87  14.9    0.43   5.25  19.3   -0.96   5.44  16.8   -0.14  11.35
  18300  15.7   -4.58   6.29  17.4    3.89   6.87  16.9    0.75   4.96  19.5   -1.17   5.05  16.8   -0.13  11.92
  19500  15.7   -2.88   5.25  17.4    2.27   6.29  16.7    1.06   4.77  19.3   -1.39   5.34  16.4   -0.17  11.63
  20700  16.4   -1.12   5.25  18.9    2.27   6.39  13.6    0.90   4.48  19.1   -1.18   4.77  14.6   -0.13  10.49
