#DataName: Power Spectrum Parameters
#CopyRight: Chinese Meridian Project
#Station: OQZQB(108.66E,22.10N,23m)
#Instrument: MST Radar
#Producer: Wuhan University
#FileCreateTime: 2024-04-09T17:54:23
#DataLevel: L1B
#DataVersion: V01.00
#DataStartTime: 2024-04-09T17:50:00.000
#DataEndTime: 2024-04-09T17:54:02.000
#RecordNumber: 160
#QualityFlag: 1(1:Okay,2:Caution,3:No-Recommend)
#DeviceState: TansInputPower=576kW, WellRAntennaNum=931, WellTAntennaNum=576
#DeviceSpec: Freq=161.00MHz, PkPower=1152kW, RAntennaNum=931, TAntennaNum=576, BeamWidth=4.5deg, Rband=1.0MHz
#ObsParameters: PlsWidth=4.00us, PlsCode=8-bit Complementary, PRF=1562.50Hz, PlsAccum=6, Range=96km, GateNum=160, Rmin=300m, EleAngle=15.0deg, BeamOrder=SZNEW, nFFT=1024, SpAverage=10
#Height(m): The Height Level of the Power Spectrum Parameters, I7.7, missingdata=NaN
#SNR1(dB): Signal to Noise Ratio in dB of Beam1, F5.1, missingdata=-99999
#Rv1(m/s): Radial Velocity in m/s of Beam1, F7.2, missingdata=-9999999
#SW1(m/s): Spectrum Width in m/s of Beam1, F6.2, missingdata=-999999
#SNR2(dB): Signal to Noise Ratio in dB of Beam2, F5.1, missingdata=-99999
#Rv2(m/s): Radial Velocity in m/s of Beam2, F7.2, missingdata=-9999999
#SW2(m/s): Spectrum Width in m/s of Beam2, F6.2, missingdata=-999999
#SNR3(dB): Signal to Noise Ratio in dB of Beam3, F5.1, missingdata=-99999
#Rv3(m/s): Radial Velocity in m/s of Beam3, F7.2, missingdata=-9999999
#SW3(m/s): Spectrum Width in m/s of Beam3, F6.2, missingdata=-999999
#SNR4(dB): Signal to Noise Ratio in dB of Beam4, F5.1, missingdata=-99999
#Rv4(m/s): Radial Velocity in m/s of Beam4, F7.2, missingdata=-9999999
#SW4(m/s): Spectrum Width in m/s of Beam4, F6.2, missingdata=-999999
#SNR5(dB): Signal to Noise Ratio in dB of Beam5, F5.1, missingdata=-99999
#Rv5(m/s): Radial Velocity in m/s of Beam5, F7.2, missingdata=-9999999
#SW5(m/s): Spectrum Width in m/s of Beam5, F6.2, missingdata=-999999
#-------------------------------------------------------------------
 Height    SNR1     Rv1     SW1    SNR2     Rv2     SW2    SNR3     Rv3     SW3    SNR4     Rv4     SW4    SNR5     Rv5     SW5
    300  22.3   -1.65 242.42   7.2   -1.08 300.50  16.5   -0.27 285.87  -2.3   -1.30 466.35  10.7   -0.10 293.80
    900 -99999 -9999999 -999999  10.6   -0.13 292.60  19.1   -0.08 264.69  21.8   -1.30 246.96  12.3   -0.07 290.12
   1500  30.8   -1.10 228.30  18.3    0.74 238.04  23.6    0.13 214.60  40.4   -1.29  95.68  23.1   -0.10 208.73
   2100  38.9   -1.62 147.18  27.0    1.28 164.18  30.1    0.24 146.56  47.3   -1.29  25.51  28.2   -0.10 153.40
   2700  37.7   -1.66  79.20  33.7    1.56  99.58  35.2    0.24  88.31  49.8   -1.27  19.35  35.4   -0.12  84.80
   3300  39.5   -1.70  57.58  36.6    1.92  73.37  36.8    0.10  71.00  48.6   -1.06  22.31  36.7   -0.12  73.23
   3900  40.3   -1.85  50.84  37.2    2.46  69.18  37.2   -0.10  67.48  42.2   -0.43  48.51  36.7   -0.10  73.23
   4500  41.7   -1.96  42.73  38.1    2.81  63.00  37.5   -0.39  63.05  39.5    0.21  54.09  35.2   -0.09  85.75
   5100  41.4   -2.17  44.02  38.5    2.81  59.70  36.2   -0.48  71.84  36.7    0.70  72.60  33.1   -0.01 102.08
   5700  38.9   -2.23  59.07  40.0    2.77  48.38  35.6   -0.49  76.81  33.7    0.70  92.91  28.9   -0.01 144.25
   6300  38.1   -2.23  64.86  39.0    2.48  55.10  33.8   -0.37  91.34  30.1    0.53 130.53  21.1   -0.01 209.82
   6900  35.8   -2.42  84.07  38.5    2.48  55.65  32.5   -0.25  98.39  29.3    0.18 135.47  20.9    0.04 213.48
   7500  31.0   -2.71 118.82  36.4    2.60  69.96  30.8   -0.25 120.69  29.3   -0.81 136.00  17.3    0.07 253.95
   8100  29.8   -3.29 133.24  33.3    3.10  95.00  30.3    0.39 128.08  27.0   -1.76 165.42  16.4    0.06 264.09
   8700  28.3   -4.12 151.44  32.2    4.03 106.29  30.3    1.07 128.08  28.3   -2.28 148.23  19.7    0.06 248.38
   9300  27.3   -4.90 162.40  31.5    4.69 113.08  29.1    1.32 142.52  28.3   -2.28 148.23  19.7    0.01 248.38
   9900  25.2   -5.60 189.46  27.4    5.29 160.13  26.1    0.99 177.27  25.7   -1.84 179.97  17.2   -0.04 263.07
  10500  22.0   -5.98 221.00  24.3    5.65 198.73  23.4    1.08 204.41  23.3   -1.26 209.36  14.9   -0.01 272.26
